相同行业股票过多，不买:股票代码：sh.600926, 股票名称：杭州银行,股票价格：15.66，股票数量：1000.0，综合排名：22，pb排名：34，分红率排名：40，pe排名：15，ROE排名：17，pb值：0.869562，pe值：6.087362，bonusRate:0.016602809706257982,bonusAmount:0.26,ROE:0.0832919
相同行业股票过多，不买:股票代码：sh.601398, 股票名称：工商银行,股票价格：7.43，股票数量：2200.0，综合排名：23，pb排名：25，分红率排名：34，pe排名：25，ROE排名：30，pb值：0.706094，pe值：7.285023，bonusRate:0.020619111709286677,bonusAmount:0.1532,ROE:0.06448419999999999
相同行业股票过多，不买:股票代码：sh.601988, 股票名称：中国银行,股票价格：5.46，股票数量：3000.0，综合排名：24，pb排名：20，分红率排名：30，pe排名：26，ROE排名：39，pb值：0.666988，pe值：7.428418，bonusRate:0.02164835164835165,bonusAmount:0.1182,ROE:0.059974749999999986
买入股票潞安环能:股票代码：sh.601699, 股票名称：潞安环能,股票价格：13.74，股票数量：1200.0，综合排名：25，pb排名：35，分红率排名：1，pe排名：78，ROE排名：3，pb值：0.884824，pe值：26.157217，bonusRate:0.05782387190684134,bonusAmount:0.7945,ROE:0.11149410000000001,花费资金16488.0
相同行业股票过多，不买:股票代码：sh.601658, 股票名称：邮储银行,股票价格：6.22，股票数量：2600.0，综合排名：26，pb排名：29，分红率排名：33，pe排名：31，ROE排名：27，pb值：0.755572，pe值：8.596778，bonusRate:0.020980707395498392,bonusAmount:0.1305,ROE:0.06710065000000001
相同行业股票过多，不买:股票代码：sz.002142, 股票名称：宁波银行,股票价格：27.84，股票数量：500.0，综合排名：27，pb排名：33，分红率排名：57，pe排名：19，ROE排名：12，pb值：0.835734，pe值：6.507751，bonusRate:0.010775862068965516,bonusAmount:0.3,ROE:0.08781074999999999
买入股票中国平安:股票代码：sh.601318, 股票名称：中国平安,股票价格：57.33，股票数量：200.0，综合排名：28，pb排名：53，分红率排名：31，pe排名：32，ROE排名：8，pb值：1.09975，pe值：8.648404，bonusRate:0.021193092621664054,bonusAmount:1.215,ROE:0.08980830000000001,花费资金11466.0
买入股票山西焦煤:股票代码：sz.000983, 股票名称：山西焦煤,股票价格：7.23，股票数量：2300.0，综合排名：29，pb排名：58，分红率排名：2，pe排名：66，ROE排名：2，pb值：1.123691，pe值：19.041919，bonusRate:0.05532503457814661,bonusAmount:0.4,ROE:0.12664015,花费资金16629.0
买入股票中煤能源:股票代码：sh.601898, 股票名称：中煤能源,股票价格：11.3，股票数量：1400.0，综合排名：30，pb排名：45，分红率排名：36，pe排名：33，ROE排名：14，pb值：0.962167，pe值：8.690501，bonusRate:0.019557522123893806,bonusAmount:0.221,ROE:0.08661095,花费资金15820.000000000002
买入股票大秦铁路:股票代码：sh.601006, 股票名称：大秦铁路,股票价格：6.1，股票数量：2700.0，综合排名：31，pb排名：28，分红率排名：3，pe排名：60，ROE排名：40，pb值：0.749553，pe值：16.857144，bonusRate:0.031305737704918034,bonusAmount:0.190965,ROE:0.05928479999999999,花费资金16470.0
