code,codeName,peTTM,pbMRQ,close,totalValue,industry,roe_mean,roe_std,roe_count,roe_volatility,eps_predicted,avg_dividend_pay_rate,amount,stockDividend,dividend_yield,predicted_dividend_yield,pe_rank,pb_rank,dividend_rank,predicted_dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.600016,民生银行,5.328217,0.271597,3.57,126605692145.48802,J66货币金融服务,0.043664777777777775,0.014838568091515297,18.0,0.33982923643933116,0.676666666667,23.970114329534667,0.811,0.0,0.045434173669467795,0.04543355003639529,12.0,1.0,36.0,35.0,525.0,29.0,48.0
sh.601166,兴业银行,5.078758,0.474285,18.6,393629462405.2005,J66货币金融服务,0.07202155555555556,0.03148062851645198,18.0,0.4371000914048384,3.602666666667,24.16901993096667,4.354,0.0,0.04681720430107526,0.04681339917812042,9.0,18.0,33.0,28.0,324.0,114.0,55.0
sh.601818,光大银行,4.889817,0.366594,3.13,145267870537.55524,J66货币金融服务,0.0557965,0.023498826316748374,18.0,0.42115233602015134,0.6,22.606545263593333,0.727,0.0,0.046453674121405754,0.043335230537239616,5.0,7.0,35.0,48.0,439.0,90.0,60.0
sh.600015,华夏银行,4.007483,0.338236,6.83,105091340335.19551,J66货币金融服务,0.047586722222222225,0.02320118890667042,18.0,0.48755593626147764,1.6475,17.440616796066,1.592,0.0,0.04661786237188873,0.042069423384361246,1.0,4.0,34.0,58.0,493.0,220.0,63.0
sh.601229,上海银行,5.464343,0.524139,9.32,132447000054.21893,J66货币金融服务,0.06592777777777778,0.0276954854774215,18.0,0.42008826038054015,1.733636363636,25.585492417357667,1.88,0.0,0.04034334763948498,0.047592210339339476,15.0,23.0,56.0,26.0,374.0,86.0,64.0
sz.000001,平安银行,4.948374,0.459135,10.98,213081931409.78534,J66货币金融服务,0.06669172222222222,0.026728889232891496,18.0,0.40078271099115825,2.1695,22.428989696386665,2.208,0.0,0.04021857923497268,0.04431666042469114,7.0,15.0,60.0,42.0,369.0,64.0,64.0
sh.601077,渝农商行,6.112583,0.553781,6.63,58596828665.41353,J66货币金融服务,0.0676178888888889,0.02402191992593649,18.0,0.3552598331694413,1.1425,26.38118687329067,1.1854099999999999,0.0,0.035758974358974356,0.04546079336762382,21.0,30.0,91.0,33.0,359.0,32.0,84.0
sh.601577,长沙银行,4.669715,0.521046,9.56,38439753114.38278,J66货币金融服务,0.07615177777777778,0.03236544072192101,18.0,0.4250122802959136,2.118571428571,17.326171150496,1.58,0.0,0.03305439330543933,0.038396162307502035,3.0,22.0,104.0,76.0,300.0,98.0,101.0
sh.600919,江苏银行,5.91558,0.790429,11.38,208844765347.04376,J66货币金融服务,0.08044733333333333,0.032281650369648626,18.0,0.40127682338319015,2.002857142857,25.86745809470767,2.0454,0.0,0.03594727592267135,0.04552620668940191,19.0,60.0,89.0,32.0,274.0,66.0,111.0
sh.601998,中信银行,5.759333,0.552124,7.37,300436366298.7013,J66货币金融服务,0.060412777777777774,0.024974353144907195,18.0,0.413395213124826,1.28,23.065279351912665,1.3908,0.0,0.037742198100407055,0.040059101181069486,17.0,29.0,74.0,67.0,411.0,78.0,113.0
