code,codeName,peTTM,pbMRQ,close,totalValue,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.601818,光大银行,4.896917,0.396781,3.34,154990011352.0249,J66货币金融服务,0.05418257894736842,0.023895761744887334,19.0,0.4410229673286513,0.657,0.0,0.03934131736526946,6.0,5.0,24.0,439.0,88.0,35.0
sh.600016,民生银行,5.654556,0.305429,3.92,139004949548.81308,J66货币金融服务,0.042811052631578944,0.0148929108731253,19.0,0.34787537230840626,0.758,0.0,0.03867346938775511,11.0,1.0,25.0,519.0,29.0,37.0
sh.600015,华夏银行,4.247882,0.374446,7.26,111715663053.96098,J66货币金融服务,0.0460781052631579,0.023486857114126937,19.0,0.5097183788263541,1.272,0.0,0.03504132231404959,2.0,4.0,33.0,495.0,220.0,39.0
sh.601169,北京银行,4.508761,0.419981,5.52,116714306403.75586,J66货币金融服务,0.05304905263157895,0.02195565723724294,19.0,0.4138746339114304,0.95,0.0,0.034420289855072464,3.0,7.0,35.0,445.0,55.0,45.0
sh.601166,兴业银行,5.193121,0.517046,19.01,402294881214.85693,J66货币金融服务,0.07023026315789474,0.03157433438348676,19.0,0.4495830282238864,3.853,0.0,0.0405365597054182,9.0,17.0,23.0,319.0,108.0,49.0
sz.000001,平安银行,4.964221,0.477809,11.03,214050551807.8587,J66货币金融服务,0.06462926315789475,0.0274875204225928,19.0,0.425310750571896,1.848,0.0,0.03350861287398006,8.0,11.0,41.0,368.0,67.0,60.0
sh.601997,贵阳银行,4.237084,0.342614,5.92,21645107152.25976,J66货币金融服务,0.061531368421052626,0.030392883472964025,19.0,0.49394128966852724,0.8799999999999999,0.0,0.029729729729729724,1.0,2.0,65.0,384.0,185.0,68.0
sh.601328,交通银行,6.46269,0.540032,6.94,180942423897.2865,J66货币金融服务,0.05366247368421053,0.025076949124131286,19.0,0.4673088548191517,1.2833,0.0,0.03698270893371758,22.0,18.0,29.0,441.0,136.0,69.0
sh.601668,中国建筑,4.727135,0.437883,5.11,211148126707.50385,E48土木工程建筑业,0.08448315789473684,0.039229919356224864,19.0,0.4643519529076318,0.79565,0.0,0.031140900195694717,5.0,8.0,56.0,238.0,129.0,69.0
sh.601916,浙商银行,6.162758,0.484546,3.13,67430982555.5827,J66货币金融服务,0.056191368421052636,0.02090076412003087,19.0,0.3719568451050606,0.53,0.0,0.03386581469648563,19.0,13.0,38.0,422.0,33.0,70.0
sh.601229,上海银行,5.938169,0.595335,10.05,142800640329.09033,J66货币金融服务,0.06397526315789474,0.0282287183671013,19.0,0.4412442712026233,1.66,0.0,0.03303482587064676,17.0,23.0,44.0,373.0,89.0,84.0
sh.601658,邮储银行,7.118437,0.61252,5.17,346960427700.9413,J66货币金融服务,0.06411631578947369,0.027924539916736383,19.0,0.435529390185593,0.9035,0.0,0.03495164410058027,35.0,27.0,34.0,371.0,82.0,96.0
sh.601998,中信银行,6.161958,0.605742,7.82,318723984158.59033,J66货币金融服务,0.058723526315789476,0.025363066396651163,19.0,0.4319063923419665,1.1978,0.0,0.030634271099744242,18.0,25.0,59.0,405.0,79.0,102.0
sh.600919,江苏银行,5.855719,0.784815,10.91,200207417209.7017,J66货币金融服务,0.077738,0.0335213288254243,19.0,0.43120904609617305,1.8122,0.0,0.03322089825847846,15.0,46.0,43.0,273.0,77.0,104.0
sh.601186,中国铁建,4.666378,0.364813,7.33,84320213808.42801,E48土木工程建筑业,0.05004442105263158,0.025833634725802693,19.0,0.5162140790605516,0.9299999999999999,0.0,0.025375170532060027,4.0,3.0,98.0,466.0,235.0,105.0
sh.601009,南京银行,6.53698,0.782893,11.53,142540163880.07053,J66货币金融服务,0.08095515789473684,0.034834525488791145,19.0,0.43029408372083294,1.92237,0.0,0.033345533391153516,25.0,45.0,42.0,259.0,76.0,112.0
sh.601077,渝农商行,6.757857,0.611139,7.08,62578410682.06423,J66货币金融服务,0.0658608947368421,0.024569242919857556,19.0,0.3730475120028046,1.06786,0.0,0.030165536723163845,27.0,26.0,62.0,356.0,34.0,115.0
sh.601577,长沙银行,4.91073,0.576446,10.01,40244875588.23529,J66货币金融服务,0.07390805263157894,0.03293900193197805,19.0,0.4456754136950984,1.35,0.0,0.026973026973026976,7.0,22.0,88.0,298.0,98.0,117.0
sh.601825,沪农商行,6.962206,0.683941,8.93,83701627195.55034,J66货币金融服务,0.07175336842105262,0.030594315278442256,19.0,0.42638158948738364,1.3940000000000001,0.0,0.031220604703247484,30.0,33.0,55.0,311.0,70.0,118.0
sz.002966,苏州银行,6.982032,0.746979,8.38,36841270430.037674,J66货币金融服务,0.0687708947368421,0.028550649134271956,19.0,0.4151559935860008,1.33,0.0,0.03174224343675418,32.0,43.0,51.0,333.0,57.0,126.0
sh.601919,中远海控,6.495995,1.064189,16.14,202646292203.27502,G55水上运输业,0.2991275789473684,0.29763891695089506,19.0,0.9950233208127717,6.25,0.0,0.07744733581164807,23.0,100.0,7.0,5.0,590.0,130.0
sh.601988,中国银行,7.392104,0.662805,5.5,1159475432228.0396,J66货币金融服务,0.0570731052631579,0.026925631755499228,19.0,0.47177443090485544,0.8202,0.0,0.02982545454545455,38.0,32.0,63.0,419.0,147.0,133.0
sh.600820,隧道股份,8.061212,0.660675,6.54,20561337009.501583,E48土木工程建筑业,0.04459726315789474,0.03318215745085854,19.0,0.7440402190909902,1.0,0.0,0.03058103975535168,42.0,31.0,60.0,506.0,494.0,133.0
sh.601390,中国中铁,5.692107,0.44742,5.72,117135042444.08235,E48土木工程建筑业,0.05756005263157895,0.02968713988033967,19.0,0.5157594290324281,0.67,0.0,0.02342657342657343,12.0,9.0,113.0,415.0,233.0,134.0
sh.601838,成都银行,5.542905,0.87004,17.41,73793455215.7715,J66货币金融服务,0.09734631578947368,0.04848694845586185,19.0,0.49808714446597346,2.55573,0.0,0.029359333716255025,10.0,60.0,67.0,165.0,194.0,137.0
sh.601939,建设银行,7.184756,0.705543,9.26,88837731186.1545,J66货币金融服务,0.06917726315789474,0.03204855689564769,19.0,0.46328165400961224,1.3778000000000001,0.0,0.029758099352051842,37.0,37.0,64.0,329.0,128.0,138.0
sh.600036,招商银行,6.737338,0.928422,40.12,827661688538.1954,J66货币金融服务,0.08895705263157894,0.041179021517803734,19.0,0.46290901395248746,6.723,0.0,0.03351445663010967,26.0,74.0,40.0,214.0,125.0,140.0
sh.601398,工商银行,7.181652,0.688808,7.39,1992114899068.0474,J66货币金融服务,0.0610082105263158,0.029817850989296377,19.0,0.48875144397874926,1.0593,0.0,0.028668470906630585,36.0,34.0,74.0,391.0,178.0,144.0
sh.601665,齐鲁银行,6.236248,0.740604,5.79,35632606808.14392,J66货币金融服务,0.0643841052631579,0.029548473946108617,19.0,0.4589405075264275,0.793,0.0,0.027392055267702935,20.0,42.0,82.0,370.0,118.0,144.0
sh.600153,建发股份,13.670348,0.499789,9.6,27833392330.38348,L72商务服务业,0.059583263157894736,0.06143274069151844,19.0,1.031040218940722,2.4,0.0,0.05,122.0,15.0,16.0,403.0,597.0,153.0
sh.601800,中国交建,6.421471,0.453955,8.19,96474562648.42839,E48土木工程建筑业,0.044788684210526314,0.02112885357633709,19.0,0.47174535150490865,0.9290900000000001,0.0,0.02268840048840049,21.0,10.0,123.0,504.0,146.0,154.0
sh.601128,常熟银行,5.739851,0.809695,7.26,24077262161.694767,J66货币金融服务,0.08036736842105263,0.03824516066004013,19.0,0.47587922077614797,0.8545454545454545,0.0,0.023541197094916103,13.0,50.0,111.0,261.0,152.0,174.0
sh.600483,福能股份,9.793905,1.122932,10.6,29468803680.52999,D44电力、热力生产和供应业,0.06682210526315789,0.03319517206679097,19.0,0.4967693241040851,1.093,0.3,0.08062264150943396,58.0,111.0,6.0,344.0,193.0,175.0
sh.600704,物产中大,7.446214,0.691348,5.47,28285536978.947365,F51批发业,0.06806978947368421,0.03478240192744178,19.0,0.510981482334225,0.67,0.0,0.024497257769652652,40.0,35.0,105.0,339.0,223.0,180.0
sh.600000,浦发银行,6.911942,0.493169,10.38,345667929144.1048,J66货币金融服务,0.045103157894736845,0.017231522397639476,19.0,0.38204691648985956,1.051,0.0,0.0202504816955684,29.0,14.0,143.0,502.0,36.0,186.0
sh.600177,雅戈尔,13.721179,0.83472,7.73,35738570187.362236,C18纺织服装、服饰业,0.06998594736842105,0.04191117624807345,19.0,0.5988513097842918,1.74,0.0,0.045019404915912026,124.0,53.0,18.0,320.0,371.0,195.0
sh.601288,农业银行,8.198653,0.863934,6.76,2158296687778.632,J66货币金融服务,0.060856842105263154,0.027845874809711558,19.0,0.45756358441252953,0.8145,0.0,0.024097633136094677,44.0,56.0,107.0,393.0,116.0,207.0
sh.600741,华域汽车,8.615807,0.919155,18.87,59500750250.752266,C36汽车制造业,0.0693058947368421,0.038932790809426,19.0,0.5617529498357352,2.43,0.0,0.02575516693163752,45.0,71.0,94.0,327.0,320.0,210.0
sh.600926,杭州银行,6.536673,0.935489,17.16,124388930126.58228,J66货币金融服务,0.08389589473684211,0.03427378308868933,19.0,0.40852753518150764,1.9500000000000002,0.0,0.022727272727272728,24.0,75.0,121.0,240.0,50.0,220.0
sh.601006,大秦铁路,16.032886,0.641674,5.3,106776921671.77664,G53铁路运输业,0.05548794736842105,0.027271831836517664,19.0,0.49149109184814493,1.21117,0.0,0.0457045283018868,174.0,30.0,17.0,429.0,182.0,221.0
sh.600582,天地科技,9.031722,0.986521,6.08,25163777465.59089,C35专用设备制造业,0.06850794736842104,0.02966675886965763,19.0,0.43304112893816776,0.7969999999999999,0.0,0.026217105263157892,50.0,85.0,91.0,335.0,80.0,226.0
sh.600998,九州通,9.644672,1.015074,5.33,26875586522.52719,F51批发业,0.063987,0.029022151356047562,19.0,0.45356324497237815,0.7293689194110609,0.0,0.027368439752760258,57.0,91.0,83.0,372.0,114.0,231.0
sz.000651,格力电器,6.883973,1.510264,38.94,214758404333.37527,C38电气机械和器材制造业,0.13621110526315788,0.0778103298011651,19.0,0.5712480612416783,8.379999999999999,0.0,0.043040575243965075,28.0,186.0,21.0,60.0,340.0,235.0
sh.601598,中国外运,11.31681,1.073031,5.95,30691349545.109932,G58多式联运和运输代理业,0.06880657894736843,0.0346823437185676,19.0,0.5040556331843913,0.9249999999999999,0.0,0.03109243697478991,79.0,101.0,57.0,331.0,211.0,237.0
sh.600018,上港集团,9.016641,0.862847,5.19,120658113198.12793,G55水上运输业,0.087664,0.043144323007526464,19.0,0.49215553713641247,0.5569999999999999,0.0,0.02146435452793834,49.0,55.0,134.0,221.0,183.0,238.0
sh.601318,中国平安,7.982382,1.135209,61.84,659224545853.428,J68保险业,0.08350257894736841,0.036717556939298714,19.0,0.4397176398880057,8.35,0.0,0.027005174644243207,41.0,113.0,87.0,244.0,86.0,241.0
sz.002958,青农商行,5.928128,0.480036,3.17,17243221083.155647,J66货币金融服务,0.058617210526315786,0.022683396271230213,19.0,0.386975020946223,0.22,0.0,0.013880126182965299,16.0,12.0,214.0,406.0,39.0,242.0
sz.000623,吉林敖东,8.690566,0.730019,18.66,22224882574.060947,C27医药制造业,0.039550684210526314,0.0233201564389946,19.0,0.5896271304653687,1.6,0.0,0.01714898177920686,46.0,40.0,172.0,539.0,364.0,258.0
sh.600023,浙能电力,10.00926,0.971715,5.44,72948391100.45935,D44电力、热力生产和供应业,0.039891421052631576,0.04062908634807743,19.0,1.0184918279665345,0.59,0.0,0.021691176470588235,61.0,81.0,130.0,534.0,594.0,272.0
