code,codeName,peTTM,pbMRQ,close,totalValue,industry,roe_mean,roe_std,roe_count,roe_volatility,eps_predicted,avg_dividend_pay_rate,amount,stockDividend,dividend_yield,predicted_dividend_yield,pe_rank,pb_rank,dividend_rank,predicted_dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.601169,北京银行,4.42708,0.412372,5.42,114583261337.5,J66货币金融服务,0.054275666666666667,0.021912055349671302,18.0,0.40371784807810684,1.175,26.2981808014915,0.95,0.0,0.03505535055350553,0.057011738822421616,3.0,7.0,39.0,21.0,449.0,71.0,31.0
sh.601818,光大银行,4.839336,0.375864,3.18,147564088607.65225,J66货币金融服务,0.0557965,0.023498826316748374,18.0,0.42115233602015134,0.6575,25.9203483886035,0.657,0.0,0.041320754716981135,0.05359317316197107,6.0,5.0,24.0,30.0,439.0,92.0,41.0
sh.601668,中国建筑,4.569873,0.423316,4.94,204122529344.49097,E48土木工程建筑业,0.08717627777777777,0.038517580645734406,18.0,0.4418355730204505,1.175,22.5545502697715,0.79565,0.0,0.03221255060728744,0.0536469566133229,4.0,10.0,59.0,29.0,238.0,129.0,43.0
sh.600016,民生银行,5.314687,0.287676,3.71,131572908285.27684,J66货币金融服务,0.043664777777777775,0.014838568091515297,18.0,0.33982923643933116,0.755,26.213966579421502,0.758,0.0,0.04086253369272237,0.05334648185300062,10.0,1.0,26.0,33.0,524.0,31.0,44.0
sh.600015,华夏银行,4.177669,0.359886,7.14,109881984384.76953,J66货币金融服务,0.047586722222222225,0.02320118890667042,18.0,0.48755593626147764,1.53,23.2353868727755,1.272,0.0,0.03563025210084034,0.04979011472737608,2.0,4.0,36.0,49.0,493.0,222.0,55.0
sh.601916,浙商银行,6.414291,0.466306,3.02,65065727377.1956,J66货币金融服务,0.057392388888888896,0.020821138831765038,18.0,0.362785714880671,0.583333333333,29.072797215272,0.53,0.0,0.035099337748344374,0.056156065261254884,19.0,14.0,38.0,23.0,428.0,36.0,56.0
sh.601997,贵阳银行,4.14404,0.33509,5.79,21171458194.774345,J66货币金融服务,0.06295155555555555,0.030618431600478863,18.0,0.4863808579512814,1.4,19.7988185026485,0.8799999999999999,0.0,0.03039723661485319,0.047872790852690666,1.0,2.0,65.0,58.0,392.0,219.0,61.0
sh.601229,上海银行,5.720491,0.576971,9.74,138376024508.30142,J66货币金融服务,0.06592777777777778,0.0276954854774215,18.0,0.42008826038054015,1.7575,29.5686099500255,1.66,0.0,0.034086242299794664,0.053354036947812954,15.0,24.0,43.0,32.0,374.0,88.0,71.0
sh.601166,兴业银行,5.026483,0.475393,18.4,389399509243.6974,J66货币金融服务,0.07202155555555556,0.03148062851645198,18.0,0.4371000914048384,3.672352941176,24.16901993096667,3.853,0.0,0.0418804347826087,0.04823759316784066,8.0,17.0,22.0,54.0,324.0,116.0,79.0
sh.601577,长沙银行,4.655627,0.546501,9.49,38162407026.532486,J66货币金融服务,0.07615177777777778,0.03236544072192101,18.0,0.4250122802959136,2.1425,21.0290093987715,1.35,0.0,0.028451001053740783,0.04747592480175758,5.0,22.0,81.0,61.0,300.0,100.0,88.0
sh.600919,江苏银行,5.812781,0.779061,10.83,198760933488.52673,J66货币金融服务,0.08044733333333333,0.032281650369648626,18.0,0.40127682338319015,1.990714285714,30.0014432273625,1.8122,0.0,0.033466297322253,0.055147092912971436,17.0,52.0,49.0,25.0,274.0,68.0,94.0
sh.600820,隧道股份,7.592824,0.622287,6.16,19367689560.63269,E48土木工程建筑业,0.046289833333333336,0.0332894974044544,18.0,0.7191535377700877,0.953333333333,35.3214994043945,1.0,0.0,0.032467532467532464,0.05466422526868665,40.0,30.0,56.0,27.0,506.0,487.0,97.0
sh.601838,成都银行,5.485597,0.861045,17.23,73025023232.39436,J66货币金融服务,0.10077538888888889,0.04746286077263171,18.0,0.4709767066735159,3.384210526316,29.337817553099498,2.55573,0.0,0.02966604759141033,0.05762353510292375,11.0,67.0,69.0,20.0,166.0,186.0,98.0
sh.601186,中国铁建,5.12488,0.343246,6.93,79723166563.24582,E48土木工程建筑业,0.051733611111111105,0.02548001538954861,18.0,0.49252342611119465,1.622222222222,18.2752533086505,0.9299999999999999,0.0,0.02683982683982684,0.04277997407507788,9.0,3.0,93.0,88.0,467.0,234.0,100.0
sz.000001,平安银行,5.011591,0.473503,11.01,213673379645.4472,J66货币金融服务,0.06669172222222222,0.026728889232891496,18.0,0.40078271099115825,2.173636363636,22.428989696386665,1.848,0.0,0.03356948228882834,0.044280170393899386,7.0,16.0,48.0,80.0,369.0,66.0,103.0
sh.600704,物产中大,7.146732,0.663542,5.25,27150306140.350876,F51批发业,0.06997161111111111,0.034759416984108976,18.0,0.4967645654022874,0.84,32.7082813893345,0.67,0.0,0.025523809523809525,0.0523332502229352,34.0,34.0,101.0,39.0,340.0,245.0,107.0
sh.601009,南京银行,6.29886,0.754375,11.11,137331699579.23497,J66货币金融服务,0.08336105555555556,0.03418150643166431,18.0,0.41004166998442354,1.889333333333,30.00594125689,1.92237,0.0,0.03460612061206121,0.05102720523373013,18.0,45.0,41.0,47.0,262.0,76.0,110.0
sh.600000,浦发银行,6.565679,0.445587,9.86,328475988970.6728,J66货币金融服务,0.046003277777777775,0.017265338874395502,18.0,0.37530671092170853,1.572727272727,26.546187921624,1.051,0.0,0.0213184584178499,0.042342711695004205,24.0,11.0,145.0,92.0,510.0,43.0,127.0
sh.601825,沪农商行,7.125931,0.700025,9.14,85679272686.78163,J66货币金融服务,0.07402972222222222,0.029779629106854746,18.0,0.40226584961999906,1.312857142857,32.005030880662,1.3940000000000001,0.0,0.030503282275711162,0.04597159015211812,33.0,40.0,64.0,70.0,311.0,70.0,143.0
sh.601665,齐鲁银行,6.613224,0.785373,6.14,37786496890.91216,J66货币金融服务,0.06650483333333333,0.02887893684341379,18.0,0.4342381657986832,1.113333333333,25.489562304239,0.793,0.0,0.025830618892508143,0.04621885890126644,25.0,53.0,99.0,68.0,370.0,113.0,146.0
sz.002966,苏州银行,7.223653,0.772829,8.67,38116000472.1454,J66货币金融服务,0.07095422222222221,0.02769819055579912,18.0,0.39036705199939886,1.268181818182,31.790900504912003,1.33,0.0,0.030680507497116493,0.04650131719026801,36.0,48.0,61.0,65.0,333.0,59.0,149.0
sh.601077,渝农商行,6.742048,0.623587,7.2,63641520000.0,J66货币金融服务,0.0676178888888889,0.02402191992593649,18.0,0.3552598331694413,1.142777777778,26.38118687329067,1.06786,0.0,0.029662777777777777,0.04187199181972952,28.0,31.0,70.0,96.0,359.0,34.0,155.0
sh.601328,交通银行,6.431699,0.538171,6.96,181482220264.14154,J66货币金融服务,0.05525533333333334,0.0247952056039303,18.0,0.4487386847229884,1.081,24.850188483737,1.2833,0.0,0.0368764367816092,0.03859634159614899,20.0,20.0,33.0,116.0,441.0,143.0,156.0
sh.601128,常熟银行,5.700323,0.804119,7.21,23912470203.59637,J66货币金融服务,0.08320816666666668,0.03723413645038492,18.0,0.44748175500062987,1.479565217391,20.323920079327003,0.8545454545454545,0.0,0.023704450888916907,0.04170674789238109,14.0,55.0,123.0,97.0,263.0,139.0,166.0
