code,codeName,peTTM,pbMRQ,close,totalValue,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.600015,华夏银行,3.943626,0.347626,6.74,103706482002.50313,J66货币金融服务,0.0460781052631579,0.023486857114126937,19.0,0.5097183788263541,1.272,0.0,0.03774480712166172,1.0,3.0,30.0,494.0,218.0,34.0
sh.601818,光大银行,4.808948,0.389653,3.28,152217355393.9394,J66货币金融服务,0.05418257894736842,0.023895761744887334,19.0,0.4410229673286513,0.657,0.0,0.0400609756097561,6.0,5.0,25.0,438.0,86.0,36.0
sh.600016,民生银行,5.625706,0.30387,3.9,138309470641.77722,J66货币金融服务,0.042811052631578944,0.0148929108731253,19.0,0.34787537230840626,0.758,0.0,0.038871794871794874,12.0,1.0,26.0,518.0,27.0,39.0
sh.601169,北京银行,4.402576,0.41009,5.39,113948638436.01895,J66货币金融服务,0.05304905263157895,0.02195565723724294,19.0,0.4138746339114304,0.95,0.0,0.03525046382189239,3.0,6.0,35.0,444.0,53.0,44.0
sh.601166,兴业银行,5.012823,0.499094,18.35,388342397444.2138,J66货币金融服务,0.07023026315789474,0.03157433438348676,19.0,0.4495830282238864,3.853,0.0,0.04199455040871934,9.0,17.0,22.0,319.0,106.0,48.0
sh.601916,浙商银行,5.847729,0.459777,2.97,63983118701.50026,J66货币金融服务,0.056191368421052636,0.02090076412003087,19.0,0.3719568451050606,0.53,0.0,0.03569023569023569,16.0,10.0,33.0,421.0,31.0,59.0
sz.000001,平安银行,4.910213,0.47261,10.91,211704034911.43317,J66货币金融服务,0.06462926315789475,0.0274875204225928,19.0,0.425310750571896,1.848,0.0,0.033877176901924835,8.0,12.0,40.0,367.0,65.0,60.0
sh.601997,贵阳银行,4.165511,0.336827,5.82,21279122988.10049,J66货币金融服务,0.061531368421052626,0.030392883472964025,19.0,0.49394128966852724,0.8799999999999999,0.0,0.030240549828178687,2.0,2.0,65.0,383.0,183.0,69.0
sh.601328,交通银行,6.21126,0.519022,6.67,173887555865.5385,J66货币金融服务,0.05366247368421053,0.025076949124131286,19.0,0.4673088548191517,1.2833,0.0,0.03847976011994003,23.0,18.0,28.0,440.0,134.0,69.0
sh.601668,中国建筑,4.671631,0.432742,5.05,208675281456.04395,E48土木工程建筑业,0.08448315789473684,0.039229919356224864,19.0,0.4643519529076318,0.79565,0.0,0.031510891089108914,4.0,8.0,58.0,238.0,127.0,70.0
sh.601229,上海银行,5.843631,0.585857,9.89,140550156139.165,J66货币金融服务,0.06397526315789474,0.0282287183671013,19.0,0.4412442712026233,1.66,0.0,0.03356926188068756,15.0,24.0,42.0,372.0,87.0,81.0
sh.601998,中信银行,5.783731,0.568561,7.34,299335715063.6132,J66货币金融服务,0.058723526315789476,0.025363066396651163,19.0,0.4319063923419665,1.1978,0.0,0.03263760217983651,14.0,22.0,50.0,404.0,77.0,86.0
sh.600919,江苏银行,5.539049,0.742374,10.32,189382431447.08426,J66货币金融服务,0.077738,0.0335213288254243,19.0,0.43120904609617305,1.8122,0.0,0.03512015503875969,11.0,42.0,36.0,273.0,75.0,89.0
sh.601077,渝农商行,6.223337,0.5628,6.52,57622757214.89526,J66货币金融服务,0.0658608947368421,0.024569242919857556,19.0,0.3730475120028046,1.06786,0.0,0.032756441717791414,24.0,21.0,47.0,355.0,32.0,92.0
sh.601658,邮储银行,6.953212,0.598303,5.05,339041256887.3852,J66货币金融服务,0.06411631578947369,0.027924539916736383,19.0,0.435529390185593,0.9035,0.0,0.03578217821782178,34.0,26.0,32.0,370.0,80.0,92.0
sh.601825,沪农商行,6.580181,0.646412,8.44,79100293818.18181,J66货币金融服务,0.07175336842105262,0.030594315278442256,19.0,0.42638158948738364,1.3940000000000001,0.0,0.03303317535545024,28.0,32.0,46.0,311.0,68.0,106.0
sh.601186,中国铁建,4.672744,0.365311,7.34,84430697572.59732,E48土木工程建筑业,0.05004442105263158,0.025833634725802693,19.0,0.5162140790605516,0.9299999999999999,0.0,0.025340599455040868,5.0,4.0,98.0,465.0,233.0,107.0
sh.601009,南京银行,6.361225,0.761844,11.22,138714198629.03226,J66货币金融服务,0.08095515789473684,0.034834525488791145,19.0,0.43029408372083294,1.92237,0.0,0.03426684491978609,25.0,46.0,39.0,259.0,74.0,110.0
sh.601919,中远海控,5.968724,0.97781,14.83,186213332478.5922,G55水上运输业,0.2991275789473684,0.29763891695089506,19.0,0.9950233208127717,6.25,0.0,0.08428860418071477,18.0,90.0,5.0,5.0,588.0,113.0
sh.601577,长沙银行,4.861672,0.570687,9.91,39847712143.79428,J66货币金融服务,0.07390805263157894,0.03293900193197805,19.0,0.4456754136950984,1.35,0.0,0.027245206861755807,7.0,23.0,86.0,298.0,96.0,116.0
sh.601838,成都银行,5.141752,0.807073,16.15,68456008197.45364,J66货币金融服务,0.09734631578947368,0.04848694845586185,19.0,0.49808714446597346,2.55573,0.0,0.03164990712074304,10.0,51.0,57.0,165.0,192.0,118.0
sh.601939,建设银行,6.734739,0.661352,8.68,83273287690.00598,J66货币金融服务,0.06917726315789474,0.03204855689564769,19.0,0.46328165400961224,1.3778000000000001,0.0,0.03174654377880185,30.0,34.0,55.0,329.0,126.0,119.0
sz.002966,苏州银行,6.823728,0.730043,8.19,36002953550.20684,J66货币金融服务,0.0687708947368421,0.028550649134271956,19.0,0.4151559935860008,1.33,0.0,0.03247863247863248,32.0,39.0,51.0,332.0,55.0,122.0
sh.601988,中国银行,7.10986,0.637498,5.29,1115577847148.5942,J66货币金融服务,0.0570731052631579,0.026925631755499228,19.0,0.47177443090485544,0.8202,0.0,0.03100945179584121,36.0,31.0,60.0,418.0,145.0,127.0
sh.600036,招商银行,6.539181,0.901115,38.94,803363049677.4193,J66货币金融服务,0.08895705263157894,0.041179021517803734,19.0,0.46290901395248746,6.723,0.0,0.03453004622496148,27.0,67.0,38.0,214.0,123.0,132.0
sh.601398,工商银行,6.860956,0.658049,7.06,1903812564727.2725,J66货币金融服务,0.0610082105263158,0.029817850989296377,19.0,0.48875144397874926,1.0593,0.0,0.030008498583569403,33.0,33.0,69.0,390.0,176.0,135.0
sh.600820,隧道股份,8.15982,0.668757,6.62,20814786930.917328,E48土木工程建筑业,0.04459726315789474,0.03318215745085854,19.0,0.7440402190909902,1.0,0.0,0.030211480362537763,43.0,35.0,66.0,505.0,492.0,144.0
sh.600483,福能股份,8.583526,0.984154,9.29,25826002962.50684,D44电力、热力生产和供应业,0.06682210526315789,0.03319517206679097,19.0,0.4967693241040851,1.093,0.3,0.08353067814854682,47.0,93.0,7.0,343.0,191.0,147.0
sh.601665,齐鲁银行,6.203936,0.736767,5.76,35446387812.660835,J66货币金融服务,0.0643841052631579,0.029548473946108617,19.0,0.4589405075264275,0.793,0.0,0.027534722222222224,21.0,41.0,85.0,369.0,116.0,147.0
sh.600153,建发股份,13.328589,0.487294,9.36,27141421809.11358,L72商务服务业,0.059583263157894736,0.06143274069151844,19.0,1.031040218940722,2.4,0.0,0.05128205128205129,118.0,15.0,15.0,402.0,595.0,148.0
sh.601800,中国交建,6.405789,0.452846,8.17,96243718065.74922,E48土木工程建筑业,0.044788684210526314,0.02112885357633709,19.0,0.47174535150490865,0.9290900000000001,0.0,0.022743941248470016,26.0,9.0,122.0,503.0,144.0,157.0
sh.601390,中国中铁,6.020498,0.473233,6.05,123897267447.02905,E48土木工程建筑业,0.05756005263157895,0.02968713988033967,19.0,0.5157594290324281,0.67,0.0,0.022148760330578516,19.0,13.0,128.0,414.0,231.0,160.0
sh.601128,常熟银行,5.668696,0.799657,7.17,23778637436.679173,J66货币金融服务,0.08036736842105263,0.03824516066004013,19.0,0.47587922077614797,0.8545454545454545,0.0,0.023836693292760235,13.0,50.0,110.0,261.0,150.0,173.0
sh.600177,雅戈尔,12.886903,0.783967,7.26,33569739192.867195,C18纺织服装、服饰业,0.06998594736842105,0.04191117624807345,19.0,0.5988513097842918,1.6600000000000001,0.0,0.04573002754820937,107.0,49.0,18.0,320.0,369.0,174.0
sh.600000,浦发银行,6.592315,0.470364,9.9,329634681569.34314,J66货币金融服务,0.045103157894736845,0.017231522397639476,19.0,0.38204691648985956,1.051,0.0,0.02123232323232323,29.0,11.0,139.0,501.0,34.0,179.0
sh.600704,物产中大,7.718471,0.716625,5.67,29320686071.146244,F51批发业,0.06806978947368421,0.03478240192744178,19.0,0.510981482334225,0.67,0.0,0.0236331569664903,40.0,38.0,112.0,338.0,221.0,190.0
sh.600926,杭州银行,6.205268,0.88806,16.29,118098848999.26596,J66货币金融服务,0.08389589473684211,0.03427378308868933,19.0,0.40852753518150764,1.9500000000000002,0.0,0.02394106813996317,22.0,65.0,107.0,240.0,48.0,194.0
sh.601288,农业银行,7.859064,0.82815,6.48,2067927297740.5857,J66货币金融服务,0.060856842105263154,0.027845874809711558,19.0,0.45756358441252953,0.8145,0.0,0.025138888888888888,42.0,54.0,100.0,392.0,114.0,196.0
sh.601006,大秦铁路,15.276618,0.611406,5.05,101731129265.06024,G53铁路运输业,0.05548794736842105,0.027271831836517664,19.0,0.49149109184814493,1.21117,0.0,0.047967128712871294,159.0,28.0,17.0,428.0,180.0,204.0
sh.601598,中国外运,11.107591,1.053194,5.84,30123027285.906036,G58多式联运和运输代理业,0.06880657894736843,0.0346823437185676,19.0,0.5040556331843913,0.9249999999999999,0.0,0.031678082191780824,76.0,98.0,56.0,330.0,209.0,230.0
sh.600741,华域汽车,8.880628,0.947407,19.45,61324726534.296036,C36汽车制造业,0.0693058947368421,0.038932790809426,19.0,0.5617529498357352,2.43,0.0,0.024987146529562985,52.0,80.0,101.0,327.0,318.0,233.0
sh.600998,九州通,9.445626,0.994125,5.22,26319512999.999996,F51批发业,0.063987,0.029022151356047562,19.0,0.45356324497237815,0.7293689194110609,0.0,0.02794516932609429,57.0,95.0,83.0,371.0,112.0,235.0
sz.002958,青农商行,5.853325,0.473979,3.13,17026813516.057583,J66货币金融服务,0.058617210526315786,0.022683396271230213,19.0,0.386975020946223,0.22,0.0,0.014057507987220446,17.0,14.0,206.0,405.0,37.0,237.0
sz.000651,格力电器,6.793813,1.490484,38.43,211963246621.4442,C38电气机械和器材制造业,0.13621110526315788,0.0778103298011651,19.0,0.5712480612416783,8.379999999999999,0.0,0.043611761644548525,31.0,185.0,21.0,60.0,338.0,237.0
