code,codeName,peTTM,pbMRQ,close,totalValue,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.600015,华夏银行,4.027537,0.354331,6.87,105706174892.05327,J66货币金融服务,0.04765509999999999,0.023923574521467535,20.0,0.5020149894023418,1.6099999999999999,0.0,0.04687045123726346,1.0,3.0,31.0,499.0,201.0,35.0
sh.600016,民生银行,5.524732,0.298416,3.83,135823236245.61406,J66货币金融服务,0.04394305,0.015354267627138376,20.0,0.3494128793321897,0.971,0.0,0.05070496083550914,11.0,1.0,25.0,523.0,28.0,37.0
sh.601818,光大银行,5.116838,0.4146,3.49,161980367750.37936,J66货币金融服务,0.055984749999999986,0.02461525577419311,20.0,0.4396778725312361,0.858,0.0,0.04916905444126074,7.0,5.0,28.0,446.0,85.0,40.0
sh.601169,北京银行,4.476089,0.416937,5.48,115862658202.17732,J66货币金融服务,0.0554357,0.023887266456155427,20.0,0.4309004207785854,1.255,0.0,0.04580291970802919,3.0,6.0,33.0,449.0,73.0,42.0
sh.601668,中国建筑,4.745637,0.439597,5.13,211989319755.23444,E48土木工程建筑业,0.08803995,0.04136426816707106,20.0,0.4698352073924515,1.0456500000000002,0.0,0.04076608187134504,4.0,8.0,47.0,235.0,143.0,59.0
sh.601166,兴业银行,5.767057,0.572803,21.06,445629047606.5573,J66货币金融服务,0.07247755,0.032333791960985896,20.0,0.44612148121709266,4.888,0.0,0.046419753086419754,15.0,20.0,32.0,322.0,95.0,67.0
sh.601328,交通银行,6.751369,0.564154,7.25,189049344244.8234,J66货币金融服务,0.05569505,0.026045789694053093,20.0,0.4676499921277221,1.6383,0.0,0.04519448275862069,27.0,19.0,34.0,448.0,133.0,80.0
sz.000001,平安银行,5.135246,0.49427,11.41,221385624891.59003,J66货币金融服务,0.06567005000000001,0.027156251753751987,20.0,0.4135256750033232,2.0760000000000005,0.0,0.036389132340052595,9.0,14.0,60.0,380.0,56.0,83.0
sh.601229,上海银行,5.967708,0.598296,10.1,143493646893.3669,J66货币金融服务,0.06646560000000003,0.02964719318817284,20.0,0.44605319425646994,2.06,0.0,0.040792079207920794,18.0,27.0,46.0,373.0,94.0,91.0
sh.601998,中信银行,6.108663,0.596447,7.7,313891378219.27893,J66货币金融服务,0.06039989999999999,0.02579985657222475,20.0,0.4271506504518178,1.4998,0.0,0.03895584415584415,20.0,26.0,51.0,412.0,67.0,97.0
sh.601916,浙商银行,5.985554,0.470614,3.04,65501550547.55043,J66货币金融服务,0.058175800000000014,0.022194810959700516,20.0,0.3815127760976301,0.53,0.0,0.03486842105263158,19.0,12.0,67.0,434.0,36.0,98.0
sh.601390,中国中铁,5.383633,0.423173,5.41,110778255072.69156,E48土木工程建筑业,0.0599647,0.030831595161798758,20.0,0.5141624182527179,0.8660000000000001,0.0,0.03201478743068392,10.0,7.0,82.0,417.0,222.0,99.0
sh.601186,中国铁建,4.882826,0.381735,7.67,88243557125.05193,E48土木工程建筑业,0.05236559999999999,0.027203106967287474,20.0,0.519484298227987,1.176,0.0,0.030664928292046933,6.0,4.0,89.0,467.0,228.0,99.0
sh.601658,邮储银行,7.503962,0.645693,5.45,365735773067.3317,J66货币金融服务,0.06619145,0.028720419921565432,20.0,0.43389924108877254,1.1509,0.0,0.0422348623853211,34.0,31.0,39.0,375.0,74.0,104.0
sh.601077,渝农商行,6.166067,0.557621,6.46,57091874735.432014,J66货币金融服务,0.06720935000000001,0.02466259106692179,20.0,0.36695178672196327,1.117,0.0,0.03458204334365325,21.0,17.0,69.0,364.0,33.0,107.0
sh.601825,沪农商行,7.242877,0.711513,9.29,87094337379.86848,J66货币金融服务,0.07366624999999999,0.030982747616723393,20.0,0.42058266325112786,1.9540000000000002,0.0,0.04206673842841766,32.0,39.0,40.0,317.0,63.0,111.0
sh.601838,成都银行,5.132201,0.805574,16.12,68206496415.22989,J66货币金融服务,0.09986355,0.04851780624675202,20.0,0.4858409925017889,3.18573,0.0,0.03952518610421836,8.0,59.0,49.0,167.0,165.0,116.0
sh.601009,南京银行,6.567028,0.776103,11.43,141288011065.0577,J66货币金融服务,0.08366889999999999,0.036012034209194715,20.0,0.4304112305670891,2.38399,0.0,0.04171461067366579,26.0,54.0,43.0,257.0,72.0,123.0
sh.600919,江苏银行,5.581987,0.748128,10.4,190869773006.9616,J66货币金融服务,0.07869804999999999,0.03290854570900359,20.0,0.4181621489859481,1.8813,0.0,0.03617884615384615,13.0,48.0,63.0,294.0,60.0,124.0
sh.601939,建设银行,7.200274,0.707067,9.28,89027800407.16846,J66货币金融服务,0.07163514999999998,0.033073792232831814,20.0,0.4616978150088584,1.7418,0.0,0.03753879310344828,31.0,38.0,56.0,329.0,119.0,125.0
sh.601919,中远海控,6.180265,1.012465,15.18,191399299841.80103,G55水上运输业,0.2966938,0.28990483867834255,20.0,0.9771179535209112,7.12,0.0,0.0938076416337286,22.0,98.0,6.0,5.0,581.0,126.0
sh.600820,隧道股份,7.999582,0.655624,6.49,20405133354.231976,E48土木工程建筑业,0.047392949999999996,0.03463268078210613,20.0,0.730755962270889,1.23,0.0,0.03790446841294299,43.0,32.0,54.0,502.0,479.0,129.0
sh.601988,中国银行,7.701229,0.690522,5.73,1207369981066.2021,J66货币金融服务,0.05917739999999999,0.02784588699365057,20.0,0.47054934812361765,1.0412000000000001,0.0,0.03634205933682373,39.0,33.0,61.0,422.0,145.0,133.0
