code,codeName,peTTM,pbMRQ,close,totalValue,industry,roe_mean,roe_std,roe_count,roe_volatility,eps_predicted,avg_dividend_pay_rate,amount,stockDividend,dividend_yield,predicted_dividend_yield,pe_rank,pb_rank,dividend_rank,predicted_dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.601169,北京银行,5.463037,0.395419,5.3,112060309209.55428,J66货币金融服务,0.054275666666666667,0.021912055349671302,18.0,0.40371784807810684,1.175,26.2981808014915,0.95,0.0,0.035849056603773584,0.05830257064481607,11.0,6.0,35.0,20.0,449.0,67.0,37.0
sh.601818,光大银行,4.8089,0.3735,3.16,146613392664.23358,J66货币金融服务,0.0557965,0.023498826316748374,18.0,0.42115233602015134,0.6575,25.9203483886035,0.657,0.0,0.04158227848101266,0.053932370460464556,3.0,5.0,22.0,33.0,439.0,88.0,41.0
sh.600016,民生银行,5.357663,0.290003,3.74,132631382509.52502,J66货币金融服务,0.043664777777777775,0.014838568091515297,18.0,0.33982923643933116,0.755,26.213966579421502,0.758,0.0,0.04053475935828877,0.05291856889696051,10.0,1.0,25.0,37.0,524.0,27.0,48.0
sh.601668,中国建筑,5.336817,0.408145,4.9,202457740576.4967,E48土木工程建筑业,0.08717627777777777,0.038517580645734406,18.0,0.4418355730204505,1.175,22.5545502697715,0.79565,0.0,0.03247551020408163,0.0540848909530235,8.0,9.0,51.0,32.0,238.0,125.0,49.0
sh.601916,浙商银行,6.286855,0.457041,2.96,63777059207.126945,J66货币金融服务,0.057392388888888896,0.020821138831765038,18.0,0.362785714880671,0.583333333333,29.072797215272,0.53,0.0,0.03581081081081081,0.057294363881415455,19.0,12.0,36.0,24.0,428.0,32.0,55.0
sh.600015,华夏银行,4.230328,0.364422,7.23,111263624369.74792,J66货币金融服务,0.047586722222222225,0.02320118890667042,18.0,0.48755593626147764,1.53,23.2353868727755,1.272,0.0,0.03518672199170124,0.04917032076811413,2.0,4.0,39.0,52.0,492.0,218.0,58.0
sh.601229,上海银行,5.593323,0.536511,9.54,135552106087.4885,J66货币金融服务,0.06592777777777778,0.0276954854774215,18.0,0.42008826038054015,1.7575,29.5686099500255,1.66,0.0,0.03480083857442348,0.05447257021715914,13.0,18.0,42.0,30.0,374.0,84.0,61.0
sh.601997,贵阳银行,4.172835,0.334023,6.03,22046888582.0844,J66货币金融服务,0.06295155555555555,0.030618431600478863,18.0,0.4863808579512814,1.4,19.7988185026485,0.8799999999999999,0.0,0.02918739635157545,0.04596740614213581,1.0,2.0,71.0,67.0,392.0,215.0,70.0
sh.601166,兴业银行,4.966383,0.469709,18.18,384706327445.83057,J66货币金融服务,0.07202155555555556,0.03148062851645198,18.0,0.4371000914048384,3.672352941176,24.16901993096667,3.853,0.0,0.042387238723872386,0.0488213264184966,5.0,13.0,19.0,54.0,324.0,112.0,72.0
sh.601186,中国铁建,5.021348,0.336312,6.79,78115332964.13503,E48土木工程建筑业,0.051733611111111105,0.02548001538954861,18.0,0.49252342611119465,1.622222222222,18.2752533086505,0.9299999999999999,0.0,0.027393225331369658,0.04366203539621351,6.0,3.0,89.0,81.0,467.0,230.0,90.0
