code,codeName,peTTM,pbMRQ,close,totalValue,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.600000,浦发银行,5.640653,1.135516,4.29761056,64132252386.91183,J66货币金融服务,0.1613709,0.08239004096044107,20.0,0.5105631867978742,1.8199999999999998,0.6,0.20469822821730968,2.0,26.0,22.0,38.0,119.0,50.0
sh.601009,南京银行,7.129887,1.156215,1.99836738,5933017422.085737,J66货币金融服务,0.10011105000000001,0.043290356397208934,20.0,0.4324233578332155,1.466,0.3,0.20671976881448093,14.0,28.0,21.0,147.0,49.0,63.0
sh.601169,北京银行,7.391286,1.175965,2.46050064,18387507967.01069,J66货币金融服务,0.12184745,0.05030125815573603,20.0,0.4128215908969456,1.1760000000000002,0.4,0.17559030230530648,15.0,30.0,26.0,96.0,41.0,71.0
sz.000001,平安银行,7.032488,1.103961,4.73333907,14698713550.455235,J66货币金融服务,0.13671075,0.0654930098543067,20.0,0.47906261836985536,0.4033333333333333,0.6,0.1370422328664206,13.0,21.0,46.0,71.0,96.0,80.0
sh.601988,中国银行,6.17891,1.047195,1.46622366,286676056910.7963,J66货币金融服务,0.11315125,0.047986328483801126,20.0,0.42409013142851826,0.8119999999999999,0.0,0.11076072800516668,5.0,16.0,63.0,118.0,44.0,84.0
sh.600166,福田汽车,10.359131,1.262506,3.12694368,4289244978.8650937,C36汽车制造业,0.1522972,0.06988340544574753,20.0,0.45886205029211,0.838,1.0,0.25359866283232835,33.0,45.0,12.0,48.0,73.0,90.0
sh.600015,华夏银行,6.073799,1.01262,3.20737968,16006525293.640953,J66货币金融服务,0.11227374999999999,0.05626926700566894,20.0,0.5011791893088896,1.3765384615384615,0.0,0.08583570383774843,4.0,12.0,81.0,120.0,110.0,97.0
sh.601328,交通银行,6.585799,1.021931,2.44444536,79955427739.02798,J66货币金融服务,0.1306538,0.05391212925590366,20.0,0.41263345770198545,0.92,0.1,0.09527269907967999,10.0,13.0,75.0,83.0,40.0,98.0
sz.000425,徐工机械,9.719853,1.473088,3.23122245,6638436523.155928,C35专用设备制造业,0.1716362,0.168300967747976,20.0,0.9805680139036871,0.93405,1.0,0.25781403258076524,28.0,68.0,10.0,33.0,370.0,106.0
sh.600177,雅戈尔,11.271155,1.456589,1.95710025,3846440642.1566644,C18纺织服装、服饰业,0.10284765,0.06594484561181252,20.0,0.6411896199068479,2.45,0.0,0.2503704140858395,39.0,65.0,13.0,142.0,254.0,117.0
sh.601939,建设银行,6.275582,1.301281,2.37755342,22809419721.730858,J66货币金融服务,0.14732995,0.05996700834228504,20.0,0.40702524057250444,1.2187000000000001,0.0,0.10251714975136081,6.0,49.0,66.0,55.0,36.0,121.0
sh.601166,兴业银行,6.331017,1.593602,6.396848,68999070200.93173,J66货币金融服务,0.16078405,0.07105205393710712,20.0,0.4419098407902221,2.1555555555555554,0.5,0.1673943028052427,7.0,92.0,27.0,39.0,56.0,126.0
sh.600028,中国石化,11.434149,1.246822,2.59071666,181453007450.08194,B07石油和天然气开采业,0.0914908,0.05182962226433025,20.0,0.5665009188282347,1.211818181818182,0.18181818181818182,0.12991444417896741,41.0,41.0,50.0,182.0,183.0,132.0
sh.601398,工商银行,6.474787,1.387596,2.1442497,563567669558.8818,J66货币金融服务,0.14305935,0.06099238159438655,20.0,0.42634320367306683,1.0577,0.0,0.09865455501754297,8.0,54.0,71.0,62.0,47.0,133.0
sh.600019,宝钢股份,8.473794,0.770966,2.8513743,48821445562.851715,C31黑色金属冶炼和压延加工业,0.0663706,0.03877210056131654,20.0,0.584175833295413,0.93832,0.0,0.06581528072270273,22.0,3.0,108.0,288.0,200.0,133.0
sz.000157,中联重科,7.753612,1.738117,5.86208976,36779111170.97532,C35专用设备制造业,0.20072125000000002,0.1000826256049812,20.0,0.49861499768948825,1.22,1.5,0.34162338176138746,17.0,114.0,4.0,16.0,106.0,135.0
sh.600016,民生银行,6.901993,1.580204,3.4135636,77104169731.67375,J66货币金融服务,0.13737955,0.06279697629535577,20.0,0.4571057067471525,1.008,0.4,0.13905851585715295,11.0,88.0,43.0,70.0,68.0,142.0
sh.601998,中信银行,5.962724,1.034528,2.40914777,76348906151.9901,J66货币金融服务,0.1152714,0.05281632254919925,20.0,0.458191039140665,0.69,0.0,0.05728166686927634,3.0,14.0,127.0,110.0,72.0,144.0
sh.600004,白云机场,10.558631,1.168568,3.9301262,4519648128.871606,G56航空运输业,0.059923649999999995,0.02812775133915558,20.0,0.46939315844671653,1.6099999999999999,0.0,0.08193121126746514,35.0,29.0,83.0,308.0,87.0,147.0
sh.601288,农业银行,6.530235,1.269366,1.37751928,35223954967.19467,J66货币金融服务,0.14821818181818183,0.05398658740060939,11.0,0.36423728005808587,0.519,0.0,0.07535284733002068,9.0,47.0,95.0,53.0,27.0,151.0
sh.601818,光大银行,5.220816,1.122497,1.62647655,30796993129.58688,J66货币金融服务,0.14973209999999998,0.05703362469524253,10.0,0.38090446000051115,0.4576,0.0,0.056268871506324515,1.0,24.0,130.0,50.0,30.0,155.0
sh.600377,宁沪高速,10.908084,1.465604,2.79940528,10550501383.758284,G54道路运输业,0.08136760000000001,0.03804914209199522,20.0,0.46762030700174534,1.77,0.0,0.1264554305620228,38.0,67.0,52.0,231.0,86.0,157.0
sz.000708,中信特钢,10.74239,1.259345,3.2203368,1439897644.27294,C31黑色金属冶炼和压延加工业,0.11340650000000001,0.06380708349350696,20.0,0.5626404438326459,1.25,0.0,0.07763163157344287,36.0,42.0,88.0,117.0,175.0,166.0
sh.600795,国电电力,11.522593,1.618222,1.75330791,24466765714.256874,D44电力、热力生产和供应业,0.05875335,0.04680950381377809,20.0,0.7967120821838769,0.52,0.5384615384615384,0.16700875713443677,45.0,100.0,28.0,315.0,327.0,173.0
sh.601006,大秦铁路,9.263687,1.584218,3.26265028,48505242925.99109,G53铁路运输业,0.11996690000000002,0.05522250759751765,20.0,0.46031453340477785,1.8599999999999999,0.0,0.11401773652553408,26.0,89.0,59.0,99.0,76.0,174.0
sh.600170,上海建工,11.816842,1.613905,1.78456784,1257963470.5929322,E48土木工程建筑业,0.0735555,0.045039399584083456,20.0,0.6123185837100347,0.6705128205128206,0.3333333333333333,0.14181234681215452,47.0,98.0,42.0,263.0,226.0,187.0
sh.601668,中国建筑,7.827756,1.179498,1.67618056,50285380325.44536,E48土木工程建筑业,0.09650593333333334,0.04718651733200713,15.0,0.48894939100815693,0.419,0.0,0.049994613945409314,18.0,31.0,149.0,162.0,102.0,198.0
sz.002142,宁波银行,7.525307,1.417158,4.72217552,11731575949.16475,J66货币金融服务,0.11890320000000001,0.053503632515736234,20.0,0.44997638848858756,1.25,0.0,0.052941700057773364,16.0,59.0,138.0,102.0,61.0,213.0
sh.600325,华发股份,9.714911,1.095576,2.85550335,2333076642.2935114,K70房地产业,0.0718949,0.047853065707104084,20.0,0.6655975000605618,0.6000000000000001,0.0,0.042024114592616395,27.0,19.0,172.0,271.0,269.0,218.0
sz.000027,深圳能源,16.172437,1.056328,2.53933318,6711442392.701031,D44电力、热力生产和供应业,0.06775729999999999,0.040883686981098226,20.0,0.6033842402382951,0.8333333333333333,0.0,0.0656340286415927,94.0,18.0,109.0,283.0,221.0,221.0
sh.600219,南山铝业,16.014935,0.857531,1.954965,3781203024.965308,C32有色金属冶炼和压延加工业,0.039867200000000005,0.02283090490310747,20.0,0.5726738999254392,0.5700000000000001,0.0,0.05831306442826343,93.0,5.0,126.0,374.0,191.0,224.0
sh.600018,上港集团,12.348847,1.321026,1.82846139,38380748588.135666,G55水上运输业,0.083158,0.04350249878969446,20.0,0.5231306523689178,0.581,0.0,0.06355069931227807,60.0,50.0,116.0,222.0,133.0,226.0
sh.600036,招商银行,6.995872,1.558763,7.94377087,140335592409.13226,J66货币金融服务,0.15986255,0.07287429298201764,20.0,0.4558559398809643,2.17,0.0,0.054634002805773275,12.0,83.0,135.0,40.0,65.0,230.0
sh.601000,唐山港,12.7463,1.442161,0.91160208,948386776.4379317,G55水上运输业,0.08736081818181818,0.03532898837730337,11.0,0.40440313074650386,0.3,0.0,0.0658181912002658,63.0,62.0,107.0,198.0,35.0,232.0
sh.600741,华域汽车,9.004538,1.531295,6.0996741,15756691870.823051,C36汽车制造业,0.0946466,0.06836655137942668,20.0,0.7223349954401603,1.6841,0.0,0.055219343603947625,23.0,77.0,133.0,168.0,302.0,233.0
sh.600900,长江电力,11.518338,1.593309,4.35020553,42396845622.265594,D44电力、热力生产和供应业,0.06639615,0.046384917413989556,20.0,0.6986085400130814,1.49267,0.0,0.0686252633217539,44.0,91.0,102.0,287.0,289.0,237.0
sh.600426,华鲁恒升,18.722655,1.401408,2.89517808,2760914962.708337,C26化学原料和化学制品制造业,0.07767455,0.04814343719331684,20.0,0.6198096698766435,0.43000000000000005,0.5,0.12970456311274642,130.0,57.0,51.0,243.0,236.0,238.0
sh.600704,物产中大,12.818025,1.578586,2.4282648,1637994801.7575462,F51批发业,0.08950295,0.044173549757238924,20.0,0.49354294754797384,0.5447435897435897,0.15384615384615385,0.0756361324138611,64.0,87.0,94.0,192.0,104.0,245.0
sh.601800,中国交建,8.046965,1.042678,3.68464569,4290959806.0718493,E48土木工程建筑业,0.0996284,0.06191504130903896,5.0,0.6214597575494433,0.55172,0.0,0.02994697707284849,19.0,15.0,228.0,150.0,239.0,262.0
sz.000338,潍柴动力,14.245993,1.961689,4.1664708,3455370799.24119,C36汽车制造业,0.19793505,0.1108054958206045,20.0,0.5598073500403516,1.5899999999999999,0.2,0.11632358781921619,76.0,144.0,55.0,17.0,171.0,275.0
sh.600820,隧道股份,25.289175,1.11712,2.94577356,2160787303.323412,E48土木工程建筑业,0.06676699999999999,0.038763706002556464,20.0,0.5805818144076634,0.8700000000000001,0.3333333333333333,0.12573434327382585,200.0,22.0,53.0,286.0,196.0,275.0
sh.601333,广深铁路,15.054702,0.815641,2.38712456,13492587486.083391,G53铁路运输业,0.038434499999999996,0.019720660791480382,20.0,0.513097888394031,0.43,0.0,0.03602660767731366,82.0,4.0,194.0,379.0,122.0,280.0
sh.601088,中国神华,10.482904,2.025952,10.2970592,167955943077.93613,B06煤炭开采和洗选业,0.1298084,0.05770337041820914,20.0,0.44452724491026113,4.05,0.0,0.07866323619854491,34.0,160.0,87.0,86.0,60.0,281.0
sh.600104,上汽集团,9.167482,1.666013,9.75917028,89494905985.05554,C36汽车制造业,0.11276215,0.07391324185135108,20.0,0.6554791820779496,2.3384615384615386,0.0,0.04792336789642611,25.0,106.0,154.0,119.0,263.0,285.0
sh.600352,浙江龙盛,17.43072,1.369945,2.51041755,3686336926.3134007,C26化学原料和化学制品制造业,0.0966202,0.05024169243985569,20.0,0.5199916005126846,0.74,0.0,0.05895433610237468,111.0,53.0,125.0,161.0,131.0,289.0
