code,codeName,peTTM,pbMRQ,close,totalValue,industry,roe_mean,roe_std,roe_count,roe_volatility,eps_predicted,avg_dividend_pay_rate,amount,stockDividend,dividend_yield,predicted_dividend_yield,pe_rank,pb_rank,dividend_rank,predicted_dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.601169,北京银行,4.476089,0.416937,5.48,115864713982.51802,J66货币金融服务,0.05304905263157895,0.02195565723724294,19.0,0.4138746339114304,1.175,26.2981808014915,0.95,0.0,0.03467153284671533,0.056387522703927946,3.0,7.0,37.0,27.0,446.0,55.0,37.0
sz.000001,平安银行,4.979728,0.470492,10.94,212295263559.14536,J66货币金融服务,0.06462926315789475,0.0274875204225928,19.0,0.425310750571896,2.217894736842,28.272297090342498,1.848,0.0,0.033784277879341865,0.057317165370296186,8.0,13.0,45.0,23.0,369.0,67.0,44.0
sh.601668,中国建筑,4.597625,0.425887,4.97,205358886651.62595,E48土木工程建筑业,0.08448315789473684,0.039229919356224864,19.0,0.4643519529076318,1.184615384615,22.5545502697715,0.79565,0.0,0.03201810865191147,0.053759491433890784,5.0,8.0,55.0,39.0,239.0,129.0,52.0
sh.601166,兴业银行,5.124826,0.510246,18.76,397037854725.35474,J66货币金融服务,0.07023026315789474,0.03157433438348676,19.0,0.4495830282238864,3.685294117647,28.536240634177503,3.853,0.0,0.04107675906183369,0.056057803704101086,9.0,17.0,23.0,29.0,320.0,108.0,55.0
sh.601818,光大银行,4.838271,0.392029,3.3,153133358339.6801,J66货币金融服务,0.05418257894736842,0.023895761744887334,19.0,0.4410229673286513,0.6575,25.9203483886035,0.657,0.0,0.03981818181818182,0.05164433050153576,7.0,6.0,25.0,48.0,440.0,88.0,61.0
sh.600015,华夏银行,4.201073,0.37032,7.18,110472626264.81714,J66货币金融服务,0.0460781052631579,0.023486857114126937,19.0,0.5097183788263541,1.53,23.2353868727755,1.272,0.0,0.03543175487465181,0.04951273247262746,2.0,4.0,36.0,60.0,496.0,220.0,66.0
sh.600016,民生银行,5.596856,0.302312,3.88,137586444808.642,J66货币金融服务,0.042811052631578944,0.0148929108731253,19.0,0.34787537230840626,0.755,26.213966579421502,0.758,0.0,0.03907216494845361,0.051009135998616575,13.0,1.0,26.0,52.0,520.0,29.0,66.0
sh.601997,贵阳银行,4.129725,0.333933,5.77,21096665517.89728,J66货币金融服务,0.061531368421052626,0.030392883472964025,19.0,0.49394128966852724,1.4,19.7988185026485,0.8799999999999999,0.0,0.030502599653379547,0.048038727736062214,1.0,2.0,64.0,70.0,385.0,185.0,73.0
sh.601916,浙商银行,6.10369,0.479902,3.1,66791120855.84928,J66货币金融服务,0.056191368421052636,0.02090076412003087,19.0,0.3719568451050606,0.5675,29.072797215272,0.53,0.0,0.034193548387096775,0.05322197554731246,18.0,16.0,42.0,40.0,423.0,33.0,74.0
sh.601229,上海银行,5.7616,0.581118,9.81,139399617368.98395,J66货币金融服务,0.06397526315789474,0.0282287183671013,19.0,0.4412442712026233,1.759090909091,29.5686099500255,1.66,0.0,0.03384301732925586,0.053021277224819106,15.0,23.0,44.0,42.0,374.0,89.0,80.0
sh.601838,成都银行,5.418738,0.85055,17.02,72132689697.78633,J66货币金融服务,0.09734631578947368,0.04848694845586185,19.0,0.49808714446597346,3.3975,29.337817553099498,2.55573,0.0,0.030032079905992954,0.058563592912253555,11.0,62.0,67.0,20.0,166.0,194.0,93.0
sh.600919,江苏银行,5.791312,0.776183,10.79,198027558140.1094,J66货币金融服务,0.077738,0.0335213288254243,19.0,0.43120904609617305,1.990714285714,30.0014432273625,1.8122,0.0,0.03359036144578313,0.055351530699488484,17.0,50.0,46.0,31.0,274.0,77.0,98.0
sh.600820,隧道股份,7.555846,0.619256,6.13,19272357363.220947,E48土木工程建筑业,0.04459726315789474,0.03318215745085854,19.0,0.7440402190909902,0.953333333333,35.3214994043945,1.0,0.0,0.03262642740619902,0.05493175002530339,41.0,29.0,51.0,34.0,507.0,494.0,104.0
sh.600704,物产中大,6.928927,0.64332,5.09,26320909096.096367,F51批发业,0.06806978947368421,0.03478240192744178,19.0,0.510981482334225,0.84,32.7082813893345,0.67,0.0,0.026326129666011788,0.05397830327512963,33.0,33.0,98.0,38.0,340.0,223.0,104.0
sh.601577,长沙银行,4.763555,0.55917,9.71,39041360100.38787,J66货币金融服务,0.07390805263157894,0.03293900193197805,19.0,0.4456754136950984,2.1425,21.0290093987715,1.35,0.0,0.02780638516992791,0.046400260182150294,6.0,21.0,86.0,82.0,299.0,98.0,109.0
sh.601328,交通银行,6.360256,0.531472,6.83,178081107217.0487,J66货币金融服务,0.05366247368421053,0.025076949124131286,19.0,0.4673088548191517,1.082,30.053618255086,1.2833,0.0,0.03757833089311859,0.04761056361933097,23.0,19.0,31.0,74.0,442.0,136.0,116.0
sh.601186,中国铁建,4.488126,0.350877,7.05,81104999531.93259,E48土木工程建筑业,0.05004442105263158,0.025833634725802693,19.0,0.5162140790605516,1.622222222222,18.2752533086505,0.9299999999999999,0.0,0.026382978723404255,0.042051804303587195,4.0,3.0,97.0,115.0,467.0,235.0,122.0
sh.601009,南京银行,6.332877,0.758449,11.17,138089963725.26193,J66货币金融服务,0.08095515789473684,0.034834525488791145,19.0,0.43029408372083294,1.889333333333,30.00594125689,1.92237,0.0,0.034420232766338404,0.05075311102477545,21.0,47.0,39.0,55.0,260.0,76.0,123.0
sh.601077,渝农商行,6.710132,0.606823,7.03,62128584611.86218,J66货币金融服务,0.0658608947368421,0.024569242919857556,19.0,0.3730475120028046,1.135384615385,30.0505098988905,1.06786,0.0,0.030380085348506402,0.048533266890007004,28.0,27.0,66.0,68.0,357.0,34.0,123.0
sh.601665,齐鲁银行,6.203936,0.736767,5.76,35447428441.48206,J66货币金融服务,0.0643841052631579,0.029548473946108617,19.0,0.4589405075264275,1.113333333333,25.489562304239,0.793,0.0,0.027534722222222224,0.049268019731558324,20.0,45.0,88.0,62.0,371.0,118.0,127.0
sh.600036,招商银行,6.592919,0.908521,39.26,809998209195.3297,J66货币金融服务,0.08895705263157894,0.041179021517803734,19.0,0.46290901395248746,6.01,33.9578914354765,6.723,0.0,0.034248599083036166,0.05198342524890824,26.0,73.0,41.0,45.0,215.0,125.0,144.0
sh.601825,沪农商行,6.923224,0.680112,8.88,83245851101.20944,J66货币金融服务,0.07175336842105262,0.030594315278442256,19.0,0.42638158948738364,1.312857142857,32.005030880662,1.3940000000000001,0.0,0.031396396396396395,0.04731760517909455,32.0,36.0,59.0,76.0,312.0,70.0,144.0
sz.002966,苏州银行,6.965368,0.745197,8.36,36752427180.702126,J66货币金融服务,0.0687708947368421,0.028550649134271956,19.0,0.4151559935860008,1.266363636364,31.790900504912003,1.33,0.0,0.03181818181818182,0.0481565076156537,34.0,46.0,56.0,69.0,334.0,57.0,149.0
sh.601658,邮储银行,6.994518,0.601857,5.08,368501082124.5003,J66货币金融服务,0.06411631578947369,0.027924539916736383,19.0,0.435529390185593,0.750952380952,29.998195189823,0.9035,0.0,0.035570866141732285,0.044344913586733106,35.0,26.0,34.0,95.0,372.0,82.0,156.0
sh.600582,天地科技,8.883174,0.970295,5.98,24748274726.096626,C35专用设备制造业,0.06850794736842104,0.02966675886965763,19.0,0.43304112893816776,0.705,49.5886754756865,0.7969999999999999,0.0,0.026655518394648824,0.05846156556916217,50.0,87.0,94.0,21.0,336.0,80.0,158.0
sh.601318,中国平安,7.588685,1.079219,58.79,626664561535.254,J68保险业,0.08350257894736841,0.036717556939298714,19.0,0.4397176398880057,8.658181818182,44.1665358383335,8.35,0.0,0.028406191529171627,0.06504539846360653,42.0,109.0,82.0,12.0,245.0,86.0,163.0
sh.600000,浦发银行,6.725493,0.479866,10.1,336507556673.96063,J66货币金融服务,0.045103157894736845,0.017231522397639476,19.0,0.38204691648985956,1.565,26.546187921624,1.051,0.0,0.02081188118811881,0.041133449601328274,29.0,15.0,144.0,127.0,503.0,36.0,171.0
sh.601998,中信银行,6.516547,0.635734,8.27,337179641070.42255,J66货币金融服务,0.058723526315789476,0.025363066396651163,19.0,0.4319063923419665,1.265,27.190961520123,1.1978,0.0,0.028967351874244256,0.041591978625097455,24.0,30.0,76.0,120.0,406.0,79.0,174.0
sh.601128,常熟银行,5.597541,0.789619,7.08,23480504519.940918,J66货币金融服务,0.08036736842105263,0.03824516066004013,19.0,0.47587922077614797,1.479565217391,20.323920079327003,0.8545454545454545,0.0,0.0241397021058038,0.04247254976046153,14.0,52.0,114.0,111.0,262.0,152.0,177.0
sh.601800,中国交建,6.154889,0.435109,7.85,92462801906.15836,E48土木工程建筑业,0.044788684210526314,0.02112885357633709,19.0,0.47174535150490865,1.426,20.4981393994975,0.9290900000000001,0.0,0.023671082802547774,0.03723611055246298,19.0,10.0,118.0,151.0,505.0,146.0,180.0
sh.601398,工商银行,7.133062,0.684147,7.34,1979188460830.671,J66货币金融服务,0.0610082105263158,0.029817850989296377,19.0,0.48875144397874926,1.037142857143,30.0026275137215,1.0593,0.0,0.028863760217983647,0.042393747713049455,37.0,38.0,77.0,113.0,392.0,178.0,188.0
sh.601939,建设银行,7.285622,0.715448,9.39,90081921815.84216,J66货币金融服务,0.06917726315789474,0.03204855689564769,19.0,0.46328165400961224,1.326153846154,30.0433327055445,1.3778000000000001,0.0,0.02934611288604899,0.042430331436360054,38.0,41.0,73.0,112.0,330.0,128.0,191.0
sh.600023,浙能电力,10.138056,0.984219,5.51,73878590162.74466,D44电力、热力生产和供应业,0.039891421052631576,0.04062908634807743,19.0,1.0184918279665345,0.576,50.784190426755,0.59,0.0,0.021415607985480943,0.05308837329548254,62.0,89.0,137.0,41.0,535.0,594.0,192.0
sh.601555,东吴证券,11.32851,0.929232,7.91,39304098569.168396,J67资本市场服务,0.03888926315789474,0.020543590254335088,19.0,0.5282586654040171,0.775,56.087338289367494,0.796,0.0,0.020126422250316058,0.05495282828604274,82.0,79.0,154.0,33.0,542.0,262.0,194.0
sh.600741,华域汽车,8.282498,0.883597,18.14,57186235911.94969,C36汽车制造业,0.0693058947368421,0.038932790809426,19.0,0.5617529498357352,2.37125,35.236558161110494,2.43,0.0,0.02679162072767365,0.04606101904053653,45.0,67.0,93.0,85.0,328.0,320.0,197.0
sh.600177,雅戈尔,13.774431,0.837959,7.76,35878616539.47369,C18纺织服装、服饰业,0.06998594736842105,0.04191117624807345,19.0,0.5988513097842918,0.73,75.426053899167,1.74,0.0,0.04484536082474227,0.0709549218381339,134.0,58.0,19.0,8.0,321.0,371.0,200.0
sh.601988,中国银行,7.459305,0.668831,5.55,1169891986046.5117,J66货币金融服务,0.0570731052631579,0.026925631755499228,19.0,0.47177443090485544,0.756875,30.006294028627003,0.8202,0.0,0.029556756756756758,0.04092074557282353,39.0,35.0,72.0,128.0,420.0,147.0,202.0
sh.601919,中远海控,7.525345,1.000121,15.17,190478017918.15128,G55水上运输业,0.2991275789473684,0.29763891695089506,19.0,0.9950233208127717,1.41875,49.566474638813,6.25,0.0,0.08239947264337508,0.04635625306118388,40.0,92.0,5.0,83.0,5.0,590.0,215.0
sh.600926,杭州银行,6.35002,0.908776,16.67,120834332192.38715,J66货币金融服务,0.08389589473684211,0.03427378308868933,19.0,0.40852753518150764,2.99,23.230906706033,1.9500000000000002,0.0,0.023395320935812838,0.041667913048013594,22.0,74.0,120.0,119.0,241.0,50.0,215.0
sz.000651,格力电器,6.740777,1.478849,38.13,210292321216.4731,C38电气机械和器材制造业,0.13621110526315788,0.0778103298011651,19.0,0.5712480612416783,5.690526315789,48.6756327850015,8.379999999999999,0.0,0.043954891161814835,0.07264357967498893,30.0,187.0,21.0,7.0,61.0,340.0,224.0
