code,codeName,peTTM,pbMRQ,close,totalValue,industry,roe_mean,roe_std,roe_count,roe_volatility,eps_predicted,avg_dividend_pay_rate,amount,stockDividend,dividend_yield,predicted_dividend_yield,pe_rank,pb_rank,dividend_rank,predicted_dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.600016,民生银行,5.253592,0.267794,3.52,124826103573.96448,J66货币金融服务,0.043664777777777775,0.014838568091515297,18.0,0.33982923643933116,0.676666666667,23.970114329534667,0.811,0.0,0.046079545454545456,0.046078912963048634,12.0,1.0,35.0,27.0,525.0,29.0,40.0
sh.601166,兴业银行,4.868508,0.454651,17.83,377296140575.2015,J66货币金融服务,0.07202155555555556,0.03148062851645198,18.0,0.4371000914048384,3.602666666667,24.16901993096667,4.354,0.0,0.048839035333707245,0.048835065884074026,6.0,15.0,23.0,22.0,324.0,114.0,43.0
sz.000001,平安银行,4.862746,0.451191,10.79,209385238725.37656,J66货币金融服务,0.06669172222222222,0.026728889232891496,18.0,0.40078271099115825,2.1695,22.428989696386665,2.208,0.0,0.040926784059314186,0.04509702793912037,5.0,14.0,49.0,30.0,369.0,64.0,49.0
sh.601818,光大银行,4.827327,0.361909,3.09,143372465464.1443,J66货币金融服务,0.0557965,0.023498826316748374,18.0,0.42115233602015134,0.6,22.606545263593333,0.727,0.0,0.04705501618122977,0.04389620439532686,4.0,6.0,31.0,40.0,439.0,90.0,50.0
sh.600015,华夏银行,3.960543,0.334274,6.75,103864244179.47557,J66货币金融服务,0.047586722222222225,0.02320118890667042,18.0,0.48755593626147764,1.6475,17.440616796066,1.592,0.0,0.047170370370370376,0.04256802395780553,1.0,4.0,30.0,48.0,493.0,220.0,53.0
sh.601229,上海银行,5.311898,0.509516,9.06,128735067831.83752,J66货币金融服务,0.06592777777777778,0.0276954854774215,18.0,0.42008826038054015,1.733636363636,25.585492417357667,1.88,0.0,0.04150110375275938,0.048957991210004846,13.0,22.0,47.0,21.0,374.0,86.0,56.0
sh.601077,渝农商行,6.269316,0.567981,6.8,60097780104.71204,J66货币金融服务,0.0676178888888889,0.02402191992593649,18.0,0.3552598331694413,1.1425,26.38118687329067,1.1854099999999999,0.0,0.03486499999999999,0.044324273533433226,25.0,26.0,94.0,37.0,359.0,32.0,88.0
sh.601577,长沙银行,4.547599,0.507421,9.31,37434280299.88975,J66货币金融服务,0.07615177777777778,0.03236544072192101,18.0,0.4250122802959136,2.118571428571,17.326171150496,1.58,0.0,0.033941997851772286,0.039427208556360845,3.0,21.0,98.0,65.0,300.0,98.0,89.0
sh.600919,江苏银行,5.744038,0.767508,11.05,202796095387.3448,J66货币金融服务,0.08044733333333333,0.032281650369648626,18.0,0.40127682338319015,2.002857142857,25.86745809470767,2.0454,0.0,0.037020814479638,0.04688581286202658,16.0,53.0,76.0,25.0,274.0,66.0,94.0
sh.601009,南京银行,5.965932,0.707064,10.76,133052222853.47867,J66货币金融服务,0.08336105555555556,0.03418150643166431,18.0,0.41004166998442354,1.874666666667,25.790648354113,2.14532,0.0,0.03987583643122676,0.044933892919317625,21.0,44.0,56.0,32.0,262.0,74.0,97.0
sh.601328,交通银行,6.04905,0.500935,6.6,172068590833.33334,J66货币金融服务,0.05525533333333334,0.0247952056039303,18.0,0.4487386847229884,1.065454545455,24.850188483737,1.4517,0.0,0.043990909090909094,0.04011628223547133,22.0,19.0,42.0,61.0,441.0,141.0,102.0
sh.601398,工商银行,6.891121,0.649041,7.18,1935979615307.4026,J66货币金融服务,0.06277511111111111,0.029641161356720878,18.0,0.47218014961783844,1.042857142857,30.003958450613,1.2282,0.0,0.034211699164345404,0.04357916766602564,33.0,38.0,96.0,42.0,393.0,192.0,113.0
