code,codeName,peTTM,pbMRQ,close,totalValue,industry,roe_mean,roe_std,roe_count,roe_volatility,eps_predicted,avg_dividend_pay_rate,amount,stockDividend,dividend_yield,predicted_dividend_yield,pe_rank,pb_rank,dividend_rank,predicted_dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.601166,兴业银行,4.974999,0.464595,18.22,385556414839.3021,J66货币金融服务,0.0724935294117647,0.032383777929925125,17.0,0.4467126679125335,3.60625,28.731099609212333,4.354,0.0,0.047793633369923164,0.05686691984946322,8.0,17.0,28.0,35.0,305.0,112.0,60.0
sh.601997,贵阳银行,3.88911,0.311312,5.62,20547235777.7452,J66货币金融服务,0.06293129411764707,0.031560632510622924,17.0,0.5015093516370698,1.41,20.164431325646664,1.18,0.0,0.04199288256227758,0.05059047716932703,1.0,3.0,55.0,57.0,377.0,224.0,61.0
sh.600016,民生银行,5.208817,0.265511,3.49,123756473905.9715,J66货币金融服务,0.043405882352941176,0.015253283535366872,17.0,0.3514105164673219,0.676666666667,26.500917567229667,0.811,0.0,0.0464756446991404,0.051381912761702696,13.0,1.0,38.0,53.0,498.0,27.0,67.0
sh.601668,中国建筑,4.922941,0.376493,4.52,186751542741.45004,E48土木工程建筑业,0.08741129411764706,0.03968970830039682,17.0,0.4540569808631177,0.946666666667,24.617302062913,1.06745,0.0,0.04723230088495576,0.0515583612527268,6.0,10.0,35.0,51.0,229.0,130.0,67.0
sz.000001,平安银行,5.074562,0.470844,11.26,218532462486.8344,J66货币金融服务,0.06782435294117647,0.02710260252250044,17.0,0.3995998685900669,2.167142857143,27.891214226117,2.208,0.0,0.03921847246891652,0.0536805023864784,9.0,18.0,69.0,41.0,340.0,56.0,68.0
sh.601229,上海银行,5.411578,0.519078,9.23,131131452012.5348,J66货币金融服务,0.06607005882352941,0.028541071214283873,17.0,0.43198192528503687,1.725384615385,29.892432015630003,1.88,0.0,0.04073672806067172,0.05587859405873244,14.0,22.0,60.0,38.0,357.0,92.0,74.0
sh.601169,北京银行,5.164116,0.373783,5.01,105915388911.79541,J66货币金融服务,0.054136411764705884,0.02257821814564544,17.0,0.417061593290992,0.925,27.11966138429533,1.228,0.0,0.04902195608782435,0.05007123109874887,11.0,9.0,25.0,62.0,425.0,68.0,82.0
sh.601077,渝农商行,5.868865,0.543758,6.51,57540804181.13208,J66货币金融服务,0.06804129411764706,0.024691898468335485,17.0,0.36289577951944685,1.143157894737,30.050296946783664,1.1854099999999999,0.0,0.03641812596006144,0.052768408900010624,17.0,26.0,83.0,45.0,337.0,30.0,88.0
sh.601577,长沙银行,4.488983,0.50088,9.19,36953392849.31506,J66货币金融服务,0.0763984705882353,0.03334408442309828,17.0,0.4364496326479208,2.095,21.129027434508334,1.58,0.0,0.034385201305767145,0.048166825326762745,3.0,20.0,98.0,74.0,282.0,97.0,97.0
sh.601818,光大银行,4.717971,0.35371,3.02,140136587677.72513,J66货币金融服务,0.056197,0.024158629118288148,17.0,0.4298917934816476,0.6,22.606545263593333,0.727,0.0,0.04814569536423841,0.04491366608660927,4.0,8.0,27.0,93.0,409.0,87.0,105.0
