code,codeName,peTTM,pbMRQ,close,totalValue,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.600015,华夏银行,3.769587,0.331637,6.43,98946976515.32677,J66货币金融服务,0.0460781052631579,0.023486857114126937,19.0,0.5097183788263541,1.272,0.0,0.03956454121306376,1.0,3.0,28.0,494.0,218.0,32.0
sh.600016,民生银行,5.409333,0.292183,3.75,132988858935.39848,J66货币金融服务,0.042811052631578944,0.0148929108731253,19.0,0.34787537230840626,0.758,0.0,0.040426666666666666,13.0,1.0,25.0,518.0,27.0,39.0
sh.601818,光大银行,4.911578,0.397969,3.35,155462876367.5257,J66货币金融服务,0.05418257894736842,0.023895761744887334,19.0,0.4410229673286513,0.657,0.0,0.039223880597014926,8.0,5.0,29.0,438.0,86.0,42.0
sh.601169,北京银行,4.369904,0.407046,5.35,113110440582.80336,J66货币金融服务,0.05304905263157895,0.02195565723724294,19.0,0.4138746339114304,0.95,0.0,0.03551401869158878,3.0,6.0,35.0,444.0,53.0,44.0
sh.601166,兴业银行,5.154876,0.513238,18.87,399342698043.6228,J66货币金融服务,0.07023026315789474,0.03157433438348676,19.0,0.4495830282238864,3.853,0.0,0.04083730789613142,10.0,17.0,24.0,319.0,106.0,51.0
sh.601916,浙商银行,5.788661,0.455133,2.94,63339831614.45783,J66货币金融服务,0.056191368421052636,0.02090076412003087,19.0,0.3719568451050606,0.53,0.0,0.03605442176870748,18.0,11.0,33.0,421.0,31.0,62.0
sz.000001,平安银行,4.88771,0.470444,10.86,210751372317.94382,J66货币金融服务,0.06462926315789475,0.0274875204225928,19.0,0.425310750571896,1.848,0.0,0.03403314917127072,7.0,14.0,43.0,367.0,65.0,64.0
sh.601997,贵阳银行,4.101096,0.331618,5.73,20950579498.247154,J66货币金融服务,0.061531368421052626,0.030392883472964025,19.0,0.49394128966852724,0.8799999999999999,0.0,0.03071553228621291,2.0,2.0,65.0,383.0,183.0,69.0
sh.601668,中国建筑,4.569873,0.423316,4.94,204130238832.39175,E48土木工程建筑业,0.08448315789473684,0.039229919356224864,19.0,0.4643519529076318,0.79565,0.0,0.03221255060728744,5.0,9.0,57.0,238.0,127.0,71.0
sh.601328,交通银行,6.192635,0.517465,6.65,173377283027.17902,J66货币金融服务,0.05366247368421053,0.025076949124131286,19.0,0.4673088548191517,1.2833,0.0,0.03859548872180451,23.0,18.0,30.0,440.0,134.0,71.0
sh.601229,上海银行,5.5482,0.556238,9.39,133421115638.62932,J66货币金融服务,0.06397526315789474,0.0282287183671013,19.0,0.4412442712026233,1.66,0.0,0.03535676251331203,14.0,23.0,38.0,372.0,87.0,75.0
sh.601077,渝农商行,6.041983,0.5464,6.33,55946461826.94007,J66货币金融服务,0.0658608947368421,0.024569242919857556,19.0,0.3730475120028046,1.06786,0.0,0.03373965244865719,21.0,20.0,45.0,355.0,32.0,86.0
sh.600919,江苏银行,5.404867,0.72439,10.07,184793898053.01648,J66货币金融服务,0.077738,0.0335213288254243,19.0,0.43120904609617305,1.8122,0.0,0.035992055610724924,12.0,41.0,34.0,273.0,75.0,87.0
sh.601009,南京银行,6.021052,0.721104,10.62,131310463587.64093,J66货币金融服务,0.08095515789473684,0.034834525488791145,19.0,0.43029408372083294,1.92237,0.0,0.03620282485875707,20.0,40.0,32.0,259.0,74.0,92.0
sh.601998,中信银行,5.81525,0.571659,7.38,300841485106.68567,J66货币金融服务,0.058723526315789476,0.025363066396651163,19.0,0.4319063923419665,1.1978,0.0,0.03246070460704607,19.0,24.0,55.0,404.0,77.0,98.0
sh.601658,邮储银行,7.022056,0.604227,5.1,342365578669.09753,J66货币金融服务,0.06411631578947369,0.027924539916736383,19.0,0.435529390185593,0.9035,0.0,0.03543137254901961,34.0,28.0,36.0,370.0,80.0,98.0
sh.601919,中远海控,5.740911,0.940489,14.15,177674618198.39963,G55水上运输业,0.2991275789473684,0.29763891695089506,19.0,0.9950233208127717,6.25,0.0,0.08833922261484098,16.0,84.0,4.0,5.0,588.0,104.0
sh.601825,沪农商行,6.51781,0.640285,8.36,78366396859.82944,J66货币金融服务,0.07175336842105262,0.030594315278442256,19.0,0.42638158948738364,1.3940000000000001,0.0,0.033349282296650726,27.0,31.0,51.0,311.0,68.0,109.0
sh.601186,中国铁建,4.539055,0.354859,7.13,82020507565.0156,E48土木工程建筑业,0.05004442105263158,0.025833634725802693,19.0,0.5162140790605516,0.9299999999999999,0.0,0.02608695652173913,4.0,4.0,101.0,465.0,233.0,109.0
sh.601577,长沙银行,4.73412,0.555715,9.65,38796973114.58638,J66货币金融服务,0.07390805263157894,0.03293900193197805,19.0,0.4456754136950984,1.35,0.0,0.027979274611398965,6.0,22.0,87.0,298.0,96.0,115.0
sh.601838,成都银行,5.119466,0.803575,16.08,68154953186.119865,J66货币金融服务,0.09734631578947368,0.04848694845586185,19.0,0.49808714446597346,2.55573,0.0,0.03178768656716418,9.0,54.0,59.0,165.0,192.0,122.0
sz.002966,苏州银行,6.790401,0.726477,8.15,35830043580.16916,J66货币金融服务,0.0687708947368421,0.028550649134271956,19.0,0.4151559935860008,1.33,0.0,0.03263803680981595,30.0,42.0,54.0,332.0,55.0,126.0
sh.601390,中国中铁,5.343814,0.420043,5.37,109972484122.23332,E48土木工程建筑业,0.05756005263157895,0.02968713988033967,19.0,0.5157594290324281,0.67,0.0,0.02495344506517691,11.0,8.0,107.0,414.0,231.0,126.0
sh.601939,建设银行,6.820087,0.669733,8.79,84327799116.2018,J66货币金融服务,0.06917726315789474,0.03204855689564769,19.0,0.46328165400961224,1.3778000000000001,0.0,0.031349260523321966,32.0,36.0,61.0,329.0,126.0,129.0
sh.601988,中国银行,7.284583,0.653164,5.42,1142600317783.3125,J66货币金融服务,0.0570731052631579,0.026925631755499228,19.0,0.47177443090485544,0.8202,0.0,0.03026568265682657,36.0,32.0,69.0,418.0,145.0,137.0
sh.600036,招商银行,6.456896,0.889776,38.45,793155167351.8024,J66货币金融服务,0.08895705263157894,0.041179021517803734,19.0,0.46290901395248746,6.723,0.0,0.034970091027308185,26.0,73.0,41.0,214.0,123.0,140.0
sh.600483,福能股份,8.361777,0.958729,9.05,25160166128.563118,D44电力、热力生产和供应业,0.06682210526315789,0.03319517206679097,19.0,0.4967693241040851,1.093,0.3,0.08415469613259667,47.0,89.0,6.0,343.0,191.0,142.0
sh.600820,隧道股份,8.085864,0.662695,6.56,20624726873.10581,E48土木工程建筑业,0.04459726315789474,0.03318215745085854,19.0,0.7440402190909902,1.0,0.0,0.03048780487804878,43.0,34.0,66.0,505.0,492.0,143.0
sh.600153,建发股份,13.17195,0.481567,9.25,26821977876.85061,L72商务服务业,0.059583263157894736,0.06143274069151844,19.0,1.031040218940722,2.4,0.0,0.051891891891891896,117.0,16.0,15.0,402.0,595.0,148.0
sh.601398,工商银行,7.113626,0.682283,7.32,1973807210044.843,J66货币金融服务,0.0610082105263158,0.029817850989296377,19.0,0.48875144397874926,1.0593,0.0,0.028942622950819667,35.0,37.0,77.0,390.0,176.0,149.0
sh.601665,齐鲁银行,6.402523,0.732929,5.73,35261848428.92768,J66货币金融服务,0.0643841052631579,0.029548473946108617,19.0,0.4589405075264275,0.793,0.0,0.02767888307155323,25.0,44.0,90.0,369.0,116.0,159.0
sh.601800,中国交建,6.264658,0.442869,7.99,94118535918.36736,E48土木工程建筑业,0.044788684210526314,0.02112885357633709,19.0,0.47174535150490865,0.9290900000000001,0.0,0.023256320400500626,24.0,10.0,127.0,503.0,144.0,161.0
sh.600177,雅戈尔,12.762649,0.776408,7.19,33244409380.354958,C18纺织服装、服饰业,0.06998594736842105,0.04191117624807345,19.0,0.5988513097842918,1.6600000000000001,0.0,0.046175243393602225,110.0,50.0,21.0,320.0,369.0,181.0
sh.600000,浦发银行,6.698857,0.477966,10.06,335031043425.69275,J66货币金融服务,0.045103157894736845,0.017231522397639476,19.0,0.38204691648985956,1.051,0.0,0.020894632206759443,29.0,15.0,140.0,501.0,34.0,184.0
sh.601128,常熟银行,5.708227,0.805233,7.22,23944638217.793594,J66货币金融服务,0.08036736842105263,0.03824516066004013,19.0,0.47587922077614797,0.8545454545454545,0.0,0.023671619239486276,15.0,56.0,120.0,261.0,150.0,191.0
sh.600704,物产中大,7.609568,0.706514,5.59,28906680331.04543,F51批发业,0.06806978947368421,0.03478240192744178,19.0,0.510981482334225,0.67,0.0,0.023971377459749553,39.0,38.0,116.0,338.0,221.0,193.0
sh.600926,杭州银行,6.064326,0.86789,15.92,115400218863.73108,J66货币金融服务,0.08389589473684211,0.03427378308868933,19.0,0.40852753518150764,1.9500000000000002,0.0,0.02449748743718593,22.0,67.0,109.0,240.0,48.0,198.0
sh.601006,大秦铁路,15.125364,0.605353,5.0,100739589224.08995,G53铁路运输业,0.05548794736842105,0.027271831836517664,19.0,0.49149109184814493,1.21117,0.0,0.0484468,166.0,29.0,16.0,428.0,180.0,211.0
sh.600741,华域汽车,8.387514,0.8948,18.37,57918411972.342674,C36汽车制造业,0.0693058947368421,0.038932790809426,19.0,0.5617529498357352,2.43,0.0,0.026456178551986936,48.0,74.0,98.0,327.0,318.0,220.0
