code,codeName,peTTM,pbMRQ,close,totalValue,industry,roe_mean,roe_std,roe_count,roe_volatility,eps_predicted,avg_dividend_pay_rate,amount,stockDividend,dividend_yield,predicted_dividend_yield,pe_rank,pb_rank,dividend_rank,predicted_dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.601166,兴业银行,4.671912,0.436291,17.11,362108147210.4193,J66货币金融服务,0.0724935294117647,0.032383777929925125,17.0,0.4467126679125335,3.60625,28.731099609212333,4.354,0.0,0.05089421390999416,0.06055612388411571,4.0,15.0,26.0,26.0,305.0,112.0,45.0
sh.601997,贵阳银行,3.681506,0.294694,5.32,19450761130.224182,J66货币金融服务,0.06293129411764707,0.031560632510622924,17.0,0.5015093516370698,1.41,20.164431325646664,1.18,0.0,0.044360902255639094,0.053443323626243974,1.0,2.0,48.0,42.0,377.0,224.0,45.0
sz.000001,平安银行,4.732052,0.439064,10.5,203749279718.3614,J66货币金融服务,0.06782435294117647,0.02710260252250044,17.0,0.3995998685900669,2.167142857143,27.891214226117,2.208,0.0,0.04205714285714286,0.057565948273499694,5.0,17.0,61.0,32.0,340.0,56.0,54.0
sh.601229,上海银行,5.306043,0.508955,9.05,128575527737.75217,J66货币金融服务,0.06607005882352941,0.028541071214283873,17.0,0.43198192528503687,1.725384615385,29.892432015630003,1.88,0.0,0.041546961325966844,0.05698999150962435,13.0,22.0,64.0,35.0,357.0,92.0,70.0
sh.600016,民生银行,4.984942,0.2541,3.34,118450612045.36354,J66货币金融服务,0.043405882352941176,0.015253283535366872,17.0,0.3514105164673219,0.676666666667,23.970114329534667,0.811,0.0,0.04856287425149701,0.04856220767363209,10.0,1.0,33.0,63.0,497.0,27.0,74.0
sh.601077,渝农商行,5.918972,0.536241,6.42,56744641883.88625,J66货币金融服务,0.06804129411764706,0.024691898468335485,17.0,0.36289577951944685,1.141666666667,30.050296946783664,1.1854099999999999,0.0,0.036928660436137066,0.05343835256633649,21.0,26.0,87.0,43.0,337.0,30.0,90.0
sh.601998,中信银行,5.579598,0.534893,7.14,290964406310.4966,J66货币金融服务,0.06098429411764705,0.025621356194014948,17.0,0.42013040512673383,1.28,28.134580057568332,1.3908,0.0,0.03895798319327731,0.0504373424001225,16.0,25.0,77.0,54.0,387.0,72.0,95.0
sh.601825,沪农商行,6.112453,0.572725,7.82,73310771439.2202,J66货币金融服务,0.07461323529411765,0.03058988608292252,17.0,0.4099793550345372,1.3,32.694311881158335,1.588,0.0,0.040613810741687975,0.05435115785870311,26.0,30.0,68.0,40.0,292.0,66.0,96.0
sz.002966,苏州银行,6.000417,0.634228,7.35,32307278127.107216,J66货币金融服务,0.07176394117647059,0.028330194379121786,17.0,0.3947692102006582,1.309230769231,31.224768083172,1.48,0.0,0.04027210884353742,0.05561962875726646,23.0,36.0,70.0,39.0,314.0,51.0,98.0
sh.601818,光大银行,4.78046,0.358395,3.06,142012053755.52283,J66货币金融服务,0.056197,0.024158629118288148,17.0,0.4298917934816476,0.6,22.606545263593333,0.727,0.0,0.04751633986928104,0.04432655934037909,7.0,7.0,39.0,85.0,409.0,87.0,99.0
sh.600015,华夏银行,3.984013,0.336255,6.79,104477780211.28249,J66货币金融服务,0.04810129411764706,0.023809128839493234,17.0,0.49497896628852467,1.64875,17.440616796066,1.592,0.0,0.04689248895434463,0.04234936221283331,2.0,6.0,41.0,98.0,461.0,209.0,106.0
sh.601009,南京银行,5.910487,0.700493,10.66,131794534158.09283,J66货币金融服务,0.0837539411764706,0.03519157179366707,17.0,0.42017809907617343,1.878823529412,30.00404476734667,2.14532,0.0,0.0402499061913696,0.05288208751071474,20.0,44.0,71.0,46.0,252.0,73.0,110.0
sh.601128,常熟银行,5.161611,0.699145,6.14,22399969421.115566,J66货币金融服务,0.08486735294117648,0.03768793612507386,17.0,0.4440804952547093,1.401111111111,20.623484178430335,0.9636363636363636,0.0,0.03138880663310631,0.04706155184400758,11.0,42.0,125.0,66.0,244.0,108.0,119.0
sh.601916,浙商银行,6.011991,0.424899,2.84,61184367326.34079,J66货币金融服务,0.05771,0.021416945207008396,17.0,0.37111324219387276,0.44,28.656391944329332,0.661,0.0,0.04654929577464789,0.04439722695600319,24.0,14.0,42.0,83.0,402.0,34.0,121.0
sh.600970,中材国际,7.281284,0.825893,7.37,19322727329.640602,E48土木工程建筑业,0.0959619411764706,0.04641137517687688,17.0,0.48364356335318404,1.189130434783,40.01234134078167,1.63,0.0,0.04423337856173677,0.06455887768690571,39.0,66.0,50.0,16.0,181.0,189.0,121.0
sh.601318,中国平安,6.832095,0.890881,50.1,534096487296.93146,J68保险业,0.08684941176470588,0.036820152542559534,17.0,0.42395396577139066,8.1975,41.536002594607,10.1,0.0,0.04031936127744511,0.06796235155075665,32.0,80.0,69.0,12.0,234.0,80.0,124.0
sh.601577,长沙银行,4.39129,0.48998,8.99,36146076126.99526,J66货币金融服务,0.0763984705882353,0.03334408442309828,17.0,0.4364496326479208,2.095,17.326171150496,1.58,0.0,0.03515016685205784,0.040376338776739844,3.0,19.0,99.0,109.0,282.0,97.0,131.0
sz.000932,华菱钢铁,10.890756,0.438105,3.57,24463987347.842983,C31黑色金属冶炼和压延加工业,0.07365582352941176,0.06716386842569755,17.0,0.9118609392627063,0.504,35.694207981141666,0.73,0.0,0.04089635854341737,0.05039182303220001,84.0,16.0,66.0,55.0,297.0,540.0,155.0
sh.600919,江苏银行,5.925976,0.791819,11.4,209200020138.02866,J66货币金融服务,0.08185917647058823,0.032697318353794885,17.0,0.39943375640412093,1.998,25.86745809470767,2.0454,0.0,0.03588421052631578,0.045336123923882386,22.0,62.0,94.0,75.0,258.0,55.0,159.0
sh.601398,工商银行,6.833535,0.643617,7.12,1919656419900.2136,J66货币金融服务,0.06322094117647059,0.030491137719570637,17.0,0.4822949034317564,1.043076923077,30.003958450613,1.2282,0.0,0.034499999999999996,0.043955669467409496,33.0,37.0,106.0,89.0,374.0,187.0,159.0
sh.601328,交通银行,6.085711,0.503971,6.64,173116900429.88263,J66货币金融服务,0.05574429411764706,0.02546870440551675,17.0,0.45688450824698995,1.065454545455,24.850188483737,1.4517,0.0,0.043725903614457835,0.03987461788465524,25.0,20.0,53.0,115.0,414.0,137.0,160.0
sh.601717,中创智领,6.558936,1.072649,15.05,23210550267.156456,C35专用设备制造业,0.11305905882352942,0.045805311030041304,17.0,0.40514498799726856,2.515,49.541520265940335,3.77,0.0,0.05009966777408638,0.08278865346766774,29.0,129.0,30.0,4.0,124.0,63.0,162.0
