股票代码：sh.600000, 股票名称：浦发银行,股票价格：4.29505296，股票数量：11600.0，综合排名：2，pb排名：7，分红率排名：13，pe排名：2，ROE排名：2，pb值：1.10144，pe值：5.579027，bonusRate:0.03492389998376179,bonusAmount:0.15,ROE:0.1613709
股票代码：sz.000425, 股票名称：徐工机械,股票价格：3.1724946，股票数量：15700.0，综合排名：8，pb排名：17，分红率排名：1，pe排名：17，ROE排名：1，pb值：1.417148，pe值：9.350745，bonusRate:0.5583137320391341,bonusAmount:0.185,ROE:0.1716362
股票代码：sz.000708, 股票名称：中信特钢,股票价格：3.04023454，股票数量：16400.0，综合排名：15，pb排名：11，分红率排名：4，pe排名：18，ROE排名：14，pb值：1.171805，pe值：9.995663，bonusRate:0.06578439833132084,bonusAmount:0.2,ROE:0.11340650000000001
股票代码：sh.601800, 股票名称：中国交建,股票价格：3.8337354，股票数量：13000.0，综合排名：16，pb排名：6，分红率排名：15，pe排名：15，ROE排名：20，pb值：1.084868，pe值：8.372565，bonusRate:0.023397545902620196,bonusAmount:0.0897,ROE:0.0996284
股票代码：sh.600089, 股票名称：特变电工,股票价格：3.49188588，股票数量：14300.0，综合排名：18，pb排名：13，分红率排名：18，pe排名：20，ROE排名：12，pb值：1.276773，pe值：17.153283，bonusRate:0.011455128081104415,bonusAmount:0.04,ROE:0.11644334999999999
股票代码：sh.601669, 股票名称：中国电建,股票价格：2.89943752，股票数量：17200.0，综合排名：19，pb排名：12，分红率排名：19，pe排名：16，ROE排名：18，pb值：1.208643，pe值：9.195164，bonusRate:0.006552995147831293,bonusAmount:0.019,ROE:0.11123783333333333
股票代码：sh.601799, 股票名称：星宇股份,股票价格：8.7524007，股票数量：5700.0，综合排名：20，pb排名：20，分红率排名：14，pe排名：19，ROE排名：17，pb值：1.492841，pe值：14.694764，bonusRate:0.03313376637337913,bonusAmount:0.29,ROE:0.11223533333333334
2013-01-04持仓所属行业分布：
行业：J66货币金融服务,股票数目：2,持仓占比：25.0%, 股票名称：浦发银行,光大银行
行业：C38电气机械和器材制造业,股票数目：1,持仓占比：12.5%, 股票名称：特变电工
行业：E48土木工程建筑业,股票数目：2,持仓占比：25.0%, 股票名称：中国电建,中国交建
行业：C36汽车制造业,股票数目：1,持仓占比：12.5%, 股票名称：星宇股份
行业：C35专用设备制造业,股票数目：1,持仓占比：12.5%, 股票名称：徐工机械
行业：C31黑色金属冶炼和压延加工业,股票数目：1,持仓占比：12.5%, 股票名称：中信特钢
2013-01-04持仓金额:500000.00000000006元，现金:101085.86245900001元, 股票:398914.13754100003元
2013-01-04持仓金额:500000.0元，现金:101085.86245900001元, 股票:398914.137541元
日期2013-01-07, 前55名称股票信息
第1名:股票代码：sh.601818, 股票名称：光大银行,股票价格：1.66319262，股票数量：0，综合排名：1，pb排名：7，分红率排名：9，pe排名：1，ROE排名：3，pb值：1.126177，pe值：5.387024，bonusRate:0.03998334239842887,bonusAmount:0.0665,ROE:0.14973209999999998
第2名:股票代码：sh.600000, 股票名称：浦发银行,股票价格：4.42364736，股票数量：0，综合排名：2，pb排名：8，分红率排名：12，pe排名：2，ROE排名：2，pb值：1.134417，pe值：5.635193，bonusRate:0.03390867033307103,bonusAmount:0.15,ROE:0.1613709
第3名:股票代码：sh.601988, 股票名称：中国银行,股票价格：1.4563501，股票数量：0，综合排名：3，pb排名：4，分红率排名：5，pe排名：5，ROE排名：14，pb值：1.040143，pe值：6.137301，bonusRate:0.05321522620144702,bonusAmount:0.0775,ROE:0.11315125
第4名:股票代码：sh.600015, 股票名称：华夏银行,股票价格：3.1860378，股票数量：0，综合排名：4，pb排名：1，分红率排名：10，pe排名：3，ROE排名：15，pb值：1.005882，pe值：6.033384，bonusRate:0.03923368391925545,bonusAmount:0.125,ROE:0.11227374999999999
第5名:股票代码：sh.601939, 股票名称：建设银行,股票价格：2.37755342，股票数量：0，综合排名：5，pb排名：15，分红率排名：6，pe排名：6，ROE排名：5，pb值：1.301281，pe值：6.275582，bonusRate:0.04973600130507268,bonusAmount:0.11825000000000001,ROE:0.14732995
第6名:股票代码：sh.601998, 股票名称：中信银行,股票价格：2.54936186，股票数量：0，综合排名：6，pb排名：5，分红率排名：11，pe排名：4，ROE排名：12，pb值：1.04893，pe值：6.045732，bonusRate:0.03922550249496555,bonusAmount:0.1,ROE:0.1152714
第7名:股票代码：sh.601169, 股票名称：北京银行,股票价格：2.55462795，股票数量：0，综合排名：7，pb排名：11，分红率排名：2，pe排名：12，ROE排名：9，pb值：1.187273，pe值：7.462356，bonusRate:0.13914464335207793,bonusAmount:0.1,ROE:0.12184745
第8名:股票代码：sh.601288, 股票名称：农业银行,股票价格：1.42144786，股票数量：0，综合排名：8，pb排名：13，分红率排名：8，pe排名：9，ROE排名：4，pb值：1.282775，pe值：6.599216，bonusRate:0.04625565372478735,bonusAmount:0.06575,ROE:0.14821818181818183
第9名:股票代码：sz.000425, 股票名称：徐工机械,股票价格：3.16414593，股票数量：0，综合排名：9，pb排名：17，分红率排名：1，pe排名：16，ROE排名：1，pb值：1.413419，pe值：9.326138，bonusRate:0.5584675941289472,bonusAmount:0.185,ROE:0.1716362
第10名:股票代码：sh.601398, 股票名称：工商银行,股票价格：2.17254492，股票数量：0，综合排名：10，pb排名：16，分红率排名：7，pe排名：7，ROE排名：6，pb值：1.377824，pe值：6.42919，bonusRate:0.046719402239103064,bonusAmount:0.10149999999999999,ROE:0.14305935
第11名:股票代码：sz.000001, 股票名称：平安银行,股票价格：4.4740403，股票数量：0，综合排名：11，pb排名：2，分红率排名：19，pe排名：8，ROE排名：7，pb值：1.021838，pe值：6.509344，bonusRate:0.0,bonusAmount:0.0,ROE:0.13671075
第12名:股票代码：sh.601328, 股票名称：交通银行,股票价格：2.45414554，股票数量：0，综合排名：12，pb排名：3，分红率排名：16，pe排名：10，ROE排名：8，pb值：1.025986，pe值：6.611933，bonusRate:0.02037368981792335,bonusAmount:0.05,ROE:0.1306538
第13名:股票代码：sh.601009, 股票名称：南京银行,股票价格：2.08267056，股票数量：0，综合排名：13，pb排名：10，分红率排名：3，pe排名：11，ROE排名：18，pb值：1.172535，pe值：7.230526，bonusRate:0.07202291273565609,bonusAmount:0.15,ROE:0.10011105000000001
第14名:股票代码：sz.000708, 股票名称：中信特钢,股票价格：3.02031164，股票数量：0，综合排名：14，pb排名：9，分红率排名：4，pe排名：17，ROE排名：13，pb值：1.164126，pe值：9.93016，bonusRate:0.06621833235725304,bonusAmount:0.2,ROE:0.11340650000000001
