code,codeName,peTTM,pbMRQ,close,totalValue,industry,roe_mean,roe_std,roe_count,roe_volatility,eps_predicted,avg_dividend_pay_rate,amount,stockDividend,dividend_yield,predicted_dividend_yield,pe_rank,pb_rank,dividend_rank,predicted_dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.601997,贵阳银行,3.750708,0.300233,5.42,19816787820.22093,J66货币金融服务,0.06295155555555555,0.030618431600478863,18.0,0.4863808579512814,1.41,20.164431325646664,1.18,0.0,0.043542435424354244,0.05245728444494796,1.0,2.0,54.0,47.0,373.0,202.0,50.0
sh.601166,兴业银行,4.841204,0.452101,17.73,375185252560.5537,J66货币金融服务,0.07202155555555556,0.03148062851645198,18.0,0.4371000914048384,3.60625,28.731099609212333,4.354,0.0,0.04911449520586576,0.05843853805173264,6.0,16.0,30.0,29.0,307.0,108.0,51.0
sz.000001,平安银行,4.799652,0.445336,10.65,206681335398.773,J66货币金融服务,0.06669172222222222,0.026728889232891496,18.0,0.40078271099115825,2.167142857143,27.891214226117,2.208,0.0,0.04146478873239437,0.05675516026964759,4.0,14.0,60.0,35.0,352.0,59.0,53.0
sh.601229,上海银行,5.288452,0.507267,9.02,128165245376.67471,J66货币金融服务,0.06592777777777778,0.0276954854774215,18.0,0.42008826038054015,1.725384615385,29.892432015630003,1.88,0.0,0.041685144124168516,0.057179536935931315,12.0,20.0,59.0,32.0,357.0,82.0,64.0
sh.600016,民生银行,5.208817,0.265511,3.49,123766243853.22212,J66货币金融服务,0.043664777777777775,0.014838568091515297,18.0,0.33982923643933116,0.676666666667,23.970114329534667,0.811,0.0,0.0464756446991404,0.04647500677075392,10.0,1.0,39.0,70.0,500.0,27.0,81.0
sh.601077,渝农商行,5.882093,0.5329,6.38,56387149629.62963,J66货币金融服务,0.0676178888888889,0.02402191992593649,18.0,0.3552598331694413,1.141666666667,30.050296946783664,1.1854099999999999,0.0,0.03716018808777429,0.053773389259542365,20.0,25.0,88.0,41.0,342.0,30.0,86.0
sh.601818,光大银行,4.827327,0.361909,3.09,143406628716.2482,J66货币金融服务,0.0557965,0.023498826316748374,18.0,0.42115233602015134,0.6,22.606545263593333,0.727,0.0,0.04705501618122977,0.04389620439532686,5.0,7.0,35.0,80.0,417.0,86.0,92.0
sh.600015,华夏银行,3.954675,0.333779,6.74,103709163720.93025,J66货币金融服务,0.047586722222222225,0.02320118890667042,18.0,0.48755593626147764,1.64875,17.440616796066,1.592,0.0,0.047240356083086056,0.04266352662094038,2.0,4.0,34.0,87.0,470.0,205.0,93.0
sh.601998,中信银行,5.712446,0.547629,7.31,297991629485.44696,J66货币金融服务,0.060412777777777774,0.024974353144907195,18.0,0.413395213124826,1.28,28.134580057568332,1.3908,0.0,0.03805198358413133,0.04926438094895686,16.0,27.0,82.0,57.0,391.0,74.0,100.0
sz.002966,苏州银行,6.261659,0.661841,7.67,33713404712.937336,J66货币金融服务,0.07095422222222221,0.02769819055579912,18.0,0.39036705199939886,1.309230769231,31.224768083172,1.48,0.0,0.038591916558018254,0.053299122733495234,25.0,36.0,77.0,43.0,316.0,53.0,104.0
sh.601825,沪农商行,6.440743,0.603486,8.24,77252513397.1292,J66货币金融服务,0.07402972222222222,0.029779629106854746,18.0,0.40226584961999906,1.3,32.694311881158335,1.588,0.0,0.038543689320388354,0.05158083185134203,28.0,33.0,78.0,52.0,294.0,63.0,113.0
sh.601009,南京银行,6.004744,0.711664,10.83,133886541513.94421,J66货币金融服务,0.08336105555555556,0.03418150643166431,18.0,0.41004166998442354,1.878823529412,30.00404476734667,2.14532,0.0,0.03961809787626962,0.05205199010749947,21.0,45.0,68.0,48.0,249.0,70.0,114.0
sh.601128,常熟银行,5.18683,0.702561,6.17,22509616661.045532,J66货币金融服务,0.08320816666666668,0.03723413645038492,18.0,0.44748175500062987,1.401111111111,20.623484178430335,0.9636363636363636,0.0,0.03123618682775895,0.04683272744282115,9.0,43.0,122.0,68.0,250.0,131.0,120.0
sh.601577,长沙银行,4.469444,0.4987,9.15,36786739698.49246,J66货币金融服务,0.07615177777777778,0.03236544072192101,18.0,0.4250122802959136,2.095,17.326171150496,1.58,0.0,0.03453551912568306,0.03967030443747445,3.0,19.0,101.0,113.0,284.0,94.0,135.0
sh.601318,中国平安,7.088469,0.924311,51.98,554097523134.3468,J68保险业,0.08617072222222223,0.03583666188630848,18.0,0.41587979028295413,8.1975,41.536002594607,10.1,0.0,0.03886110042323971,0.06550430574630452,34.0,86.0,74.0,15.0,232.0,78.0,135.0
sh.601916,浙商银行,6.371863,0.450333,3.01,64849766650.9106,J66货币金融服务,0.057392388888888896,0.020821138831765038,18.0,0.362785714880671,0.44,28.656391944329332,0.661,0.0,0.043920265780730904,0.04188974237709271,27.0,15.0,51.0,98.0,408.0,32.0,140.0
sh.600919,江苏银行,5.822012,0.777927,11.2,205547997205.12396,J66货币金融服务,0.08044733333333333,0.032281650369648626,18.0,0.40127682338319015,1.998,25.86745809470767,2.0454,0.0,0.036525,0.04614569756538029,19.0,54.0,90.0,73.0,261.0,61.0,146.0
sh.601398,工商银行,6.910316,0.650849,7.2,1941093967130.2148,J66货币金融服务,0.06277511111111111,0.029641161356720878,18.0,0.47218014961783844,1.043076923077,30.003958450613,1.2282,0.0,0.03411666666666667,0.04346727313999384,31.0,35.0,102.0,83.0,374.0,179.0,149.0
sh.600704,物产中大,6.917935,0.592577,4.83,24977198155.134155,F51批发业,0.06997161111111111,0.034759416984108976,18.0,0.4967645654022874,0.77,26.562909867440666,0.79,0.0,0.032712215320910974,0.042346667904615554,32.0,30.0,108.0,88.0,323.0,228.0,150.0
sh.600970,中材国际,7.992617,0.906577,8.09,21210374510.30928,E48土木工程建筑业,0.09419811111111112,0.045643276330936434,18.0,0.4845455582129246,1.189130434783,40.01234134078167,1.63,0.0,0.04029666254635352,0.05881321737360879,45.0,81.0,66.0,28.0,191.0,196.0,154.0
sh.601328,交通银行,6.131537,0.507766,6.69,174433198027.97208,J66货币金融服务,0.05525533333333334,0.0247952056039303,18.0,0.4487386847229884,1.065454545455,24.850188483737,1.4517,0.0,0.04339910313901345,0.039576601308536734,23.0,21.0,55.0,114.0,419.0,134.0,158.0
sh.600926,杭州银行,5.755045,0.807068,15.59,113007040202.55864,J66货币金融服务,0.08684905555555555,0.032685509843088184,18.0,0.3763484776432593,2.849,23.86795119862933,2.23,0.0,0.028608082103912764,0.04361757085625078,17.0,60.0,138.0,82.0,229.0,38.0,159.0
sz.000932,华菱钢铁,11.256832,0.452831,3.69,25286336937.697353,C31黑色金属冶炼和压延加工业,0.07797666666666667,0.06768816357037183,18.0,0.86805664391534,0.504,35.694207981141666,0.73,0.0,0.03956639566395664,0.048753064559608136,85.0,17.0,69.0,58.0,276.0,537.0,160.0
sh.600036,招商银行,6.298813,0.838534,37.65,776684813455.7722,J66货币金融服务,0.09149372222222223,0.04081676973961958,18.0,0.44611552299165175,5.998260869565,28.309085231249,7.726,0.0,0.04104116865869854,0.045101003504855595,26.0,64.0,63.0,75.0,204.0,128.0,165.0
sh.601919,中远海控,8.64966,0.919339,14.15,177675190255.78564,G55水上运输业,0.2991387222222222,0.3062679147643363,18.0,1.023832396184463,1.570375,49.66580475046133,6.69,0.0,0.09455830388692579,0.055119390908131234,48.0,84.0,4.0,38.0,5.0,563.0,170.0
sh.600019,宝钢股份,12.356553,0.601204,5.75,123145251565.23917,C31黑色金属冶炼和压延加工业,0.04463383333333334,0.033769936670584595,18.0,0.7565995154031416,0.5425,60.23982019271034,1.1,0.0,0.03826086956521739,0.056834960790513665,117.0,32.0,81.0,33.0,493.0,486.0,182.0
sh.601658,邮储银行,6.723268,0.572312,4.92,356877094516.0246,J66货币金融服务,0.06602116666666666,0.027434527927734546,18.0,0.4155413985070629,0.73,25.632288616442334,0.9988,0.0,0.04060162601626016,0.03803164774390834,29.0,28.0,65.0,126.0,356.0,76.0,183.0
sh.601717,中创智领,6.98603,1.142496,16.03,24720735491.870224,C35专用设备制造业,0.11174066666666665,0.04478832608405638,18.0,0.40082386672762876,2.515,49.541520265940335,3.77,0.0,0.04703680598877105,0.07772733840850901,33.0,145.0,36.0,6.0,128.0,60.0,184.0
sh.601169,北京银行,5.225962,0.378259,5.07,107195954588.81833,J66货币金融服务,0.054275666666666667,0.021912055349671302,18.0,0.40371784807810684,0.925,17.365355520144664,1.228,0.0,0.04844181459566075,0.031682354745826063,11.0,8.0,32.0,174.0,428.0,64.0,193.0
