code,codeName,peTTM,pbMRQ,close,totalValue,industry,roe_mean,roe_std,roe_count,roe_volatility,eps_predicted,avg_dividend_pay_rate,amount,stockDividend,dividend_yield,predicted_dividend_yield,pe_rank,pb_rank,dividend_rank,predicted_dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.601166,兴业银行,4.625493,0.431956,16.94,358503911036.5637,J66货币金融服务,0.07202155555555556,0.03148062851645198,18.0,0.4371000914048384,3.60625,28.731099609212333,4.354,0.0,0.05140495867768595,0.061163829967958654,4.0,14.0,31.0,28.0,307.0,108.0,46.0
sh.601997,贵阳银行,3.702267,0.296355,5.35,19561695737.16736,J66货币金融服务,0.06295155555555555,0.030618431600478863,18.0,0.4863808579512814,1.41,20.164431325646664,1.18,0.0,0.04411214953271028,0.0531436414376856,1.0,2.0,55.0,51.0,373.0,202.0,54.0
sz.000001,平安银行,4.695998,0.435719,10.42,202206768725.3849,J66货币金融服务,0.06669172222222222,0.026728889232891496,18.0,0.40078271099115825,2.167142857143,27.891214226117,2.208,0.0,0.04238003838771594,0.058007913327422916,5.0,15.0,61.0,36.0,352.0,59.0,56.0
sh.601229,上海银行,5.212232,0.499956,8.89,126317733757.06216,J66货币金融服务,0.06592777777777778,0.0276954854774215,18.0,0.42008826038054015,1.725384615385,29.892432015630003,1.88,0.0,0.04229471316085488,0.058015683145343125,13.0,21.0,62.0,35.0,357.0,82.0,69.0
sh.600016,民生银行,5.014792,0.255621,3.36,119146413626.37364,J66货币金融服务,0.043664777777777775,0.014838568091515297,18.0,0.33982923643933116,0.676666666667,23.970114329534667,0.811,0.0,0.04827380952380953,0.04827314691367,10.0,1.0,40.0,70.0,500.0,27.0,81.0
sh.601077,渝农商行,5.835995,0.528723,6.33,55946488898.86944,J66货币金融服务,0.0676178888888889,0.02402191992593649,18.0,0.3552598331694413,1.141666666667,30.050296946783664,1.1854099999999999,0.0,0.03745371248025276,0.054198139569649334,21.0,26.0,89.0,47.0,342.0,30.0,94.0
sh.601818,光大银行,4.702348,0.352539,3.01,139682731361.6759,J66货币金融服务,0.0557965,0.023498826316748374,18.0,0.42115233602015134,0.6,22.606545263593333,0.727,0.0,0.04830564784053156,0.04506288092410632,6.0,7.0,39.0,85.0,417.0,86.0,98.0
sz.002966,苏州银行,5.926942,0.626462,7.26,31911588101.761253,J66货币金融服务,0.07095422222222221,0.02769819055579912,18.0,0.39036705199939886,1.309230769231,31.224768083172,1.48,0.0,0.04077134986225896,0.05630912828731522,23.0,36.0,68.0,40.0,316.0,53.0,99.0
sh.600015,华夏银行,3.901868,0.329322,6.65,102333469093.75893,J66货币金融服务,0.047586722222222225,0.02320118890667042,18.0,0.48755593626147764,1.64875,17.440616796066,1.592,0.0,0.0478796992481203,0.04324092773310348,2.0,5.0,42.0,94.0,470.0,205.0,101.0
sh.601998,中信银行,5.642115,0.540887,7.22,294308454183.7732,J66货币金融服务,0.060412777777777774,0.024974353144907195,18.0,0.413395213124826,1.28,28.134580057568332,1.3908,0.0,0.038526315789473686,0.04987847988045355,17.0,27.0,85.0,60.0,391.0,74.0,104.0
sh.601009,南京银行,5.771873,0.684065,10.41,128717926096.39105,J66货币金融服务,0.08336105555555556,0.03418150643166431,18.0,0.41004166998442354,1.878823529412,30.00404476734667,2.14532,0.0,0.04121652257444765,0.054152070400021055,19.0,44.0,66.0,48.0,249.0,70.0,111.0
sh.601825,沪农商行,6.323497,0.5925,8.09,75848000237.63647,J66货币金融服务,0.07402972222222222,0.029779629106854746,18.0,0.40226584961999906,1.3,32.694311881158335,1.588,0.0,0.03925834363411619,0.05253721315884529,27.0,32.0,80.0,52.0,294.0,63.0,111.0
sh.601128,常熟银行,4.96826,0.672956,5.91,21560590530.149364,J66货币金融服务,0.08320816666666668,0.03723413645038492,18.0,0.44748175500062987,1.401111111111,20.623484178430335,0.9636363636363636,0.0,0.032610367635748344,0.04889305047753071,9.0,42.0,120.0,67.0,250.0,131.0,118.0
sh.601318,中国平安,6.722999,0.876655,49.3,525550535951.90027,J68保险业,0.08617072222222223,0.03583666188630848,18.0,0.41587979028295413,8.1975,41.536002594607,10.1,0.0,0.040973630831643,0.06906518889843628,31.0,81.0,67.0,12.0,232.0,78.0,124.0
sh.600970,中材国际,7.548033,0.856149,7.64,20029824398.028633,E48土木工程建筑业,0.09419811111111112,0.045643276330936434,18.0,0.4845455582129246,1.189130434783,40.01234134078167,1.63,0.0,0.042670157068062826,0.062277346669174755,43.0,75.0,58.0,23.0,191.0,196.0,141.0
sh.601577,长沙银行,4.430367,0.49434,9.07,36462896963.52584,J66货币金融服务,0.07615177777777778,0.03236544072192101,18.0,0.4250122802959136,2.095,17.326171150496,1.58,0.0,0.034840132304299894,0.04002020789447533,3.0,20.0,105.0,119.0,284.0,94.0,142.0
sh.601916,浙商银行,6.329525,0.447341,2.99,64423117112.16792,J66货币金融服务,0.057392388888888896,0.020821138831765038,18.0,0.362785714880671,0.44,28.656391944329332,0.661,0.0,0.04421404682274248,0.04216994132275888,28.0,16.0,53.0,100.0,408.0,32.0,144.0
sh.600919,江苏银行,5.790822,0.77376,11.14,204427056842.28302,J66货币金融服务,0.08044733333333333,0.032281650369648626,18.0,0.40127682338319015,1.998,25.86745809470767,2.0454,0.0,0.03672172351885099,0.046394238126773714,20.0,56.0,93.0,78.0,261.0,61.0,154.0
sh.601717,中创智领,6.406403,1.047704,14.7,22669712776.03729,C35专用设备制造业,0.11174066666666665,0.04478832608405638,18.0,0.40082386672762876,2.515,49.541520265940335,3.77,0.0,0.05129251700680273,0.0847598118835646,29.0,125.0,32.0,4.0,128.0,60.0,158.0
sh.600926,杭州银行,5.548321,0.778078,15.03,108955156498.56366,J66货币金融服务,0.08684905555555555,0.032685509843088184,18.0,0.3763484776432593,2.849,23.86795119862933,2.23,0.0,0.029673985362608117,0.04524270989014968,16.0,60.0,137.0,82.0,229.0,38.0,158.0
sh.601398,工商银行,6.900718,0.649945,7.19,1939221023202.1199,J66货币金融服务,0.06277511111111111,0.029641161356720878,18.0,0.47218014961783844,1.043076923077,30.003958450613,1.2282,0.0,0.034164116828929066,0.043527728318213575,33.0,38.0,109.0,92.0,374.0,179.0,163.0
sh.601328,交通银行,6.039884,0.500176,6.59,171815550690.25665,J66货币金融服务,0.05525533333333334,0.0247952056039303,18.0,0.4487386847229884,1.065454545455,24.850188483737,1.4517,0.0,0.04405766312594841,0.04017715671534306,24.0,22.0,56.0,117.0,419.0,134.0,163.0
sh.600036,招商银行,6.061248,0.806908,36.23,747354319201.8861,J66货币金融服务,0.09149372222222223,0.04081676973961958,18.0,0.44611552299165175,5.998260869565,28.309085231249,7.726,0.0,0.0426497377863649,0.04686869395412126,25.0,65.0,60.0,75.0,204.0,128.0,165.0
sh.601919,中远海控,8.447936,0.897899,13.82,173533192466.52866,G55水上运输业,0.2991387222222222,0.3062679147643363,18.0,1.023832396184463,1.570375,49.66580475046133,6.69,0.0,0.09681620839363242,0.05643555581404175,50.0,84.0,4.0,39.0,5.0,563.0,173.0
sh.600019,宝钢股份,11.797822,0.574019,5.49,117557686681.45726,C31黑色金属冶炼和压延加工业,0.04463383333333334,0.033769936670584595,18.0,0.7565995154031416,0.5425,60.23982019271034,1.1,0.0,0.0400728597449909,0.059526598277860394,112.0,31.0,72.0,31.0,493.0,486.0,174.0
sh.600704,物产中大,7.075487,0.606072,4.94,25544295948.827293,F51批发业,0.06997161111111111,0.034759416984108976,18.0,0.4967645654022874,0.77,26.562909867440666,0.79,0.0,0.03198380566801619,0.0414037259067395,34.0,33.0,126.0,108.0,323.0,228.0,175.0
sz.000932,华菱钢铁,11.165313,0.449149,3.66,25080878115.048798,C31黑色金属冶炼和压延加工业,0.07797666666666667,0.06768816357037183,18.0,0.86805664391534,0.504,35.694207981141666,0.73,0.0,0.03989071038251366,0.04915267984288361,95.0,17.0,74.0,66.0,276.0,537.0,178.0
sz.000528,柳工,10.040436,0.822213,7.68,15621871092.093023,C35专用设备制造业,0.05182172222222223,0.021415718844441878,18.0,0.4132575670219307,1.000421052632,41.797717151255,0.8966766,0.0,0.023350953125,0.05444702628915773,68.0,69.0,179.0,46.0,445.0,73.0,183.0
sh.600582,天地科技,12.788062,0.708574,4.46,18458418182.661102,C35专用设备制造业,0.07155038888888889,0.027306961441962208,18.0,0.3816465831425093,0.663333333333,49.972690252368665,1.097,0.0,0.049192825112107624,0.0743241058312135,133.0,46.0,35.0,8.0,311.0,44.0,187.0
sh.601658,邮储银行,6.695937,0.569986,4.9,355466670468.82556,J66货币金融服务,0.06602116666666666,0.027434527927734546,18.0,0.4155413985070629,0.73,25.632288616442334,0.9988,0.0,0.040767346938775505,0.038186878959189596,30.0,30.0,69.0,135.0,356.0,76.0,195.0
sh.601668,中国建筑,4.835809,0.369829,4.44,183458392247.45496,E48土木工程建筑业,0.08717627777777777,0.038517580645734406,18.0,0.4418355730204505,0.946666666667,15.035210935459332,1.06745,0.0,0.048083333333333325,0.032057056348888543,8.0,8.0,41.0,183.0,226.0,121.0,199.0
sh.600820,隧道股份,7.56911,0.513601,5.25,16506325441.239775,E48土木工程建筑业,0.046289833333333336,0.0332894974044544,18.0,0.7191535377700877,0.745,27.334659649443,1.12,0.0,0.04266666666666667,0.03878918369301911,44.0,25.0,59.0,131.0,481.0,459.0,200.0
sh.601169,北京银行,5.143501,0.372291,4.99,105505685126.71698,J66货币金融服务,0.054275666666666667,0.021912055349671302,18.0,0.40371784807810684,0.925,17.365355520144664,1.228,0.0,0.04921843687374749,0.03219028828884532,12.0,9.0,34.0,181.0,428.0,64.0,202.0
sh.603833,欧派家居,10.203132,1.016819,30.88,18810091976.11148,C21家具制造业,0.09538133333333333,0.062047119254359476,18.0,0.6505163755419594,3.402222222222,62.67048585174467,9.48766,0.0,0.06144857512953368,0.06904757760435726,73.0,116.0,17.0,13.0,183.0,427.0,202.0
sh.601288,农业银行,7.432658,0.773863,6.25,1994645479074.8896,J66货币金融服务,0.06260027777777778,0.027565469825181765,18.0,0.440341014508519,0.843636363636,30.005782065341,0.9445,0.0,0.030224,0.04050235019145374,39.0,57.0,134.0,116.0,379.0,116.0,212.0
sh.601665,齐鲁银行,6.137598,0.716562,5.89,36247412573.06956,J66货币金融服务,0.06650483333333333,0.02887893684341379,18.0,0.4342381657986832,1.025833333333,21.337232126490665,0.9212,0.0,0.03128013582342955,0.037162044068621225,26.0,48.0,130.0,140.0,353.0,105.0,214.0
sh.600098,广州发展,9.382822,0.811341,6.43,22542300775.398003,D44电力、热力生产和供应业,0.043111444444444445,0.02184039451330337,18.0,0.5066031721912726,0.5275,53.69838407292067,1.07,0.0,0.03328149300155521,0.04405271788252823,57.0,67.0,114.0,90.0,504.0,249.0,214.0
sh.600282,南钢股份,10.082525,1.03087,4.72,29098293568.389053,C31黑色金属冶炼和压延加工业,0.06783800000000001,0.03952216771263796,18.0,0.5825962987210406,0.495,59.32260234943133,0.9408000000000001,0.0,0.03986440677966102,0.062213322379170564,71.0,119.0,75.0,24.0,341.0,353.0,214.0
sh.600219,南山铝业,11.920956,0.966927,4.29,49266332417.37772,C32有色金属冶炼和压延加工业,0.05191777777777778,0.02511776144145941,18.0,0.4837988549696843,0.49875,62.214237822024664,0.7644000000000001,0.0,0.03563636363636364,0.07232948977560559,113.0,101.0,102.0,9.0,444.0,194.0,223.0
sh.601598,中国外运,9.61627,0.934836,5.44,28060564803.970222,G58多式联运和运输代理业,0.07112661111111111,0.03413704003871125,18.0,0.4799475119851239,0.5044,52.683087965966,1.08,0.0,0.039705882352941174,0.04884806906256112,61.0,94.0,77.0,68.0,314.0,186.0,223.0
sh.600000,浦发银行,5.862304,0.391001,8.85,294685258725.3415,J66货币金融服务,0.046003277777777775,0.017265338874395502,18.0,0.37530671092170853,1.530769230769,17.697458614416,1.471,0.0,0.03324293785310735,0.030610988824582817,22.0,12.0,115.0,196.0,485.0,37.0,230.0
sh.601601,中国太保,5.370505,0.90604,30.1,206041859588.2546,J68保险业,0.09297355555555556,0.04064224264339958,18.0,0.4371376613548371,5.94047826087,19.703399557008336,4.27,0.0,0.02837209302325581,0.038886251406526115,15.0,88.0,146.0,130.0,197.0,109.0,233.0
sh.601857,中国石油,10.48254,1.020706,9.06,1467341149151.6711,B07石油和天然气开采业,0.06886983333333334,0.029307138173348905,18.0,0.42554391022700655,0.998461538462,52.27007256838633,1.80258,0.0,0.03979205298013245,0.05760447800458213,80.0,117.0,76.0,37.0,331.0,95.0,234.0
sh.601838,成都银行,5.65932,0.82615,17.93,75990632880.19646,J66货币金融服务,0.10077538888888889,0.04746286077263171,18.0,0.4709767066735159,3.28,19.558545035399664,3.47673,0.0,0.03878114891243726,0.03577915656224813,18.0,70.0,84.0,146.0,156.0,173.0,234.0
sh.600177,雅戈尔,13.407267,0.810591,7.44,33506532727.27273,C18纺织服装、服饰业,0.07276344444444444,0.04128771710131124,18.0,0.567423895563861,0.6375,77.790769069887,1.94,0.0,0.0521505376344086,0.06665539688447979,151.0,66.0,24.0,18.0,303.0,338.0,235.0
sh.601390,中国中铁,5.027499,0.331923,4.35,88409156770.4123,E48土木工程建筑业,0.0593638888888889,0.029456912405367883,18.0,0.49620927733528786,0.904444444444,13.384813646362668,0.756,0.0,0.03475862068965517,0.02782947205142748,11.0,6.0,107.0,229.0,397.0,227.0,246.0
sh.601800,中国交建,7.145756,0.328448,5.9,69165639026.3802,E48土木工程建筑业,0.04630861111111111,0.020644941497328217,18.0,0.4458121503103069,0.962666666667,17.990446880059668,1.00638,0.0,0.03411457627118644,0.029353904287926728,36.0,4.0,110.0,208.0,480.0,127.0,248.0
sh.600741,华域汽车,7.277844,0.76653,16.56,52205511468.764175,C36汽车制造业,0.07180633333333333,0.03845965765501789,18.0,0.5356025836395752,2.426,23.46681586264067,3.43,0.0,0.04142512077294687,0.03437831840746756,38.0,55.0,64.0,155.0,308.0,290.0,248.0
sh.601186,中国铁建,4.736272,0.300001,6.14,70635824082.96523,E48土木工程建筑业,0.051733611111111105,0.02548001538954861,18.0,0.49252342611119465,1.305384615385,12.183502205766999,1.23,0.0,0.04006514657980456,0.025902534757194548,7.0,3.0,73.0,245.0,446.0,217.0,255.0
sh.601939,建设银行,7.507181,0.723445,9.81,94113766733.81421,J66货币金融服务,0.07110033333333333,0.031829690135432465,18.0,0.4476728679485675,1.321818181818,24.809466762475335,1.5807000000000002,0.0,0.0322262996941896,0.033428750507491584,42.0,49.0,123.0,166.0,315.0,133.0,257.0
sh.601988,中国银行,7.605793,0.682522,5.79,1220059617976.5886,J66货币金融服务,0.05878005555555556,0.02662742427178553,18.0,0.45300100553016326,0.7575,24.83917432033567,0.9371,0.0,0.032369602763385144,0.032496847232563505,45.0,43.0,121.0,177.0,398.0,139.0,265.0
sz.002736,国信证券,9.884382,1.069188,10.47,100646685489.27419,J67资本市场服务,0.04731861111111111,0.02791250879010191,18.0,0.5898843633546049,1.22,40.982485692676995,1.3399999999999999,0.0,0.025596943648519575,0.04775418581190633,64.0,131.0,162.0,71.0,472.0,362.0,266.0
