code,codeName,peTTM,pbMRQ,close,totalValue,industry,roe_mean,roe_std,roe_count,roe_volatility,eps_predicted,avg_dividend_pay_rate,amount,stockDividend,dividend_yield,predicted_dividend_yield,pe_rank,pb_rank,dividend_rank,predicted_dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.601166,兴业银行,5.02856,0.453791,17.93,379426453374.6898,J66货币金融服务,0.0724935294117647,0.032383777929925125,17.0,0.4467126679125335,3.60625,28.731099609212333,4.354,0.0,0.04856664807585053,0.05778668598199775,6.0,15.0,31.0,32.0,304.0,109.0,53.0
sh.601997,贵阳银行,3.987206,0.31011,5.6,20474777441.650806,J66货币金融服务,0.06293129411764707,0.031560632510622924,17.0,0.5015093516370698,1.41,20.164431325646664,1.18,0.0,0.04214285714285714,0.050771157444931776,2.0,3.0,54.0,50.0,376.0,221.0,55.0
sh.601668,中国建筑,5.701729,0.364827,4.37,180557105704.22534,E48土木工程建筑业,0.08741129411764706,0.03968970830039682,17.0,0.4540569808631177,0.946666666667,24.617302062913,1.06745,0.0,0.04885354691075515,0.053328099053163644,15.0,8.0,30.0,42.0,228.0,127.0,65.0
sh.600016,民生银行,5.472802,0.271092,3.59,127307138953.01518,J66货币金融服务,0.043405882352941176,0.015253283535366872,17.0,0.3514105164673219,0.676666666667,26.500917567229667,0.811,0.0,0.04518105849582173,0.04995066170984469,11.0,1.0,43.0,53.0,494.0,24.0,65.0
sz.000001,平安银行,5.304823,0.492387,11.88,230535496983.3187,J66货币金融服务,0.06782435294117647,0.02710260252250044,17.0,0.3995998685900669,2.167142857143,27.891214226117,2.208,0.0,0.037171717171717175,0.05087899468617397,9.0,18.0,74.0,48.0,339.0,53.0,75.0
sh.601229,上海银行,5.622403,0.53058,9.6,136410744945.74529,J66货币金融服务,0.06607005882352941,0.028541071214283873,17.0,0.43198192528503687,1.725384615385,29.892432015630003,1.88,0.0,0.03916666666666667,0.053724939912718796,14.0,22.0,65.0,40.0,356.0,89.0,76.0
sh.600015,华夏银行,3.976354,0.311522,6.27,96473528663.12016,J66货币金融服务,0.04810129411764706,0.023809128839493234,17.0,0.49497896628852467,1.64875,17.440616796066,1.592,0.0,0.05078149920255184,0.045861590019958244,1.0,4.0,27.0,84.0,458.0,206.0,89.0
sh.601077,渝农商行,6.247574,0.562353,6.93,61249048789.91596,J66货币金融服务,0.06804129411764706,0.024691898468335485,17.0,0.36289577951944685,1.143157894737,30.050296946783664,1.1854099999999999,0.0,0.03421096681096681,0.0495703235121312,23.0,26.0,95.0,57.0,336.0,27.0,106.0
sh.601169,北京银行,5.595573,0.410895,5.54,117129871227.84485,J66货币金融服务,0.054136411764705884,0.02257821814564544,17.0,0.417061593290992,0.925,27.11966138429533,1.228,0.0,0.04433212996389892,0.045281023069446175,13.0,11.0,48.0,90.0,423.0,65.0,114.0
sh.600704,物产中大,7.101101,0.604565,4.9,25340118650.058914,F51批发业,0.06955652941176471,0.03578317391966099,17.0,0.514447374276392,0.77,32.21409624829,0.79,0.0,0.03224489795918367,0.050622151247312855,34.0,30.0,109.0,51.0,331.0,241.0,115.0
