code,codeName,peTTM,pbMRQ,close,totalValue,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.600015,华夏银行,4.039262,0.355363,6.89,106007067323.42006,J66货币金融服务,0.04765509999999999,0.023923574521467535,20.0,0.5020149894023418,1.6099999999999999,0.0,0.0467343976777939,1.0,3.0,31.0,499.0,201.0,35.0
sh.600016,民生银行,5.568007,0.300754,3.86,136876704286.94899,J66货币金融服务,0.04394305,0.015354267627138376,20.0,0.3494128793321897,0.971,0.0,0.050310880829015546,12.0,1.0,26.0,523.0,28.0,39.0
sh.601818,光大银行,5.175484,0.419352,3.53,163812811579.69305,J66货币金融服务,0.055984749999999986,0.02461525577419311,20.0,0.4396778725312361,0.858,0.0,0.04861189801699717,8.0,5.0,29.0,446.0,85.0,42.0
sh.601169,北京银行,4.508761,0.419981,5.52,116712463698.1132,J66货币金融服务,0.0554357,0.023887266456155427,20.0,0.4309004207785854,1.255,0.0,0.04547101449275363,3.0,6.0,33.0,449.0,73.0,42.0
sh.601668,中国建筑,4.828894,0.44731,5.22,215670538800.0,E48土木工程建筑业,0.08803995,0.04136426816707106,20.0,0.4698352073924515,1.0456500000000002,0.0,0.04006321839080461,5.0,8.0,48.0,235.0,143.0,61.0
sh.601166,兴业银行,5.865639,0.582594,21.42,453333483040.5406,J66货币金融服务,0.07247755,0.032333791960985896,20.0,0.44612148121709266,4.888,0.0,0.045639589169000926,17.0,21.0,32.0,322.0,95.0,70.0
sh.601328,交通银行,6.863116,0.573492,7.37,192140110942.78683,J66货币金融服务,0.05569505,0.026045789694053093,20.0,0.4676499921277221,1.6383,0.0,0.044458616010854816,27.0,19.0,35.0,448.0,133.0,81.0
sz.000001,平安银行,5.202756,0.500768,11.56,224312931912.60098,J66货币金融服务,0.06567005000000001,0.027156251753751987,20.0,0.4135256750033232,2.0760000000000005,0.0,0.03591695501730104,9.0,14.0,63.0,380.0,56.0,86.0
sh.601229,上海银行,5.985434,0.600073,10.13,143948837498.4943,J66货币金融服务,0.06646560000000003,0.02964719318817284,20.0,0.44605319425646994,2.06,0.0,0.04067127344521224,18.0,26.0,46.0,373.0,94.0,90.0
sh.601998,中信银行,6.00553,0.586377,7.57,308594324308.71735,J66货币金融服务,0.06039989999999999,0.02579985657222475,20.0,0.4271506504518178,1.4998,0.0,0.03962483487450462,20.0,22.0,50.0,412.0,67.0,92.0
sh.601186,中国铁建,4.946488,0.386712,7.77,89378421518.69159,E48土木工程建筑业,0.05236559999999999,0.027203106967287474,20.0,0.519484298227987,1.176,0.0,0.030270270270270273,6.0,4.0,89.0,467.0,228.0,99.0
sh.601390,中国中铁,5.453292,0.428649,5.48,112211148375.1922,E48土木工程建筑业,0.0599647,0.030831595161798758,20.0,0.5141624182527179,0.8660000000000001,0.0,0.03160583941605839,10.0,7.0,82.0,417.0,222.0,99.0
sh.601916,浙商银行,6.005243,0.472162,3.05,65707647924.06447,J66货币金融服务,0.058175800000000014,0.022194810959700516,20.0,0.3815127760976301,0.53,0.0,0.034754098360655745,19.0,11.0,70.0,434.0,36.0,100.0
sh.601825,沪农商行,7.125931,0.700025,9.14,85676470136.19481,J66货币金融服务,0.07366624999999999,0.030982747616723393,20.0,0.42058266325112786,1.9540000000000002,0.0,0.04275711159737418,30.0,35.0,38.0,317.0,63.0,103.0
sh.601658,邮储银行,7.490193,0.644509,5.44,365125086124.4889,J66货币金融服务,0.06619145,0.028720419921565432,20.0,0.43389924108877254,1.1509,0.0,0.042312499999999996,33.0,31.0,40.0,375.0,74.0,104.0
sh.601077,渝农商行,6.041983,0.5464,6.33,55948462816.90141,J66货币金融服务,0.06720935000000001,0.02466259106692179,20.0,0.36695178672196327,1.117,0.0,0.03529225908372828,21.0,17.0,68.0,364.0,33.0,106.0
sh.601838,成都银行,5.14812,0.808073,16.17,68419331454.44517,J66货币金融服务,0.09986355,0.04851780624675202,20.0,0.4858409925017889,3.18573,0.0,0.039402968460111314,7.0,59.0,51.0,167.0,165.0,117.0
sh.600919,江苏银行,5.539049,0.742374,10.32,189371705321.04547,J66货币金融服务,0.07869804999999999,0.03290854570900359,20.0,0.4181621489859481,1.8813,0.0,0.036459302325581394,11.0,47.0,61.0,294.0,60.0,119.0
sh.601939,建设银行,7.192515,0.706305,9.27,88934929325.11952,J66货币金融服务,0.07163514999999998,0.033073792232831814,20.0,0.4616978150088584,1.7418,0.0,0.037579288025889966,31.0,38.0,54.0,329.0,119.0,123.0
sh.601009,南京银行,6.658955,0.786967,11.59,143298698050.62097,J66货币金融服务,0.08366889999999999,0.036012034209194715,20.0,0.4304112305670891,2.38399,0.0,0.04113874029335634,26.0,55.0,43.0,257.0,72.0,124.0
sh.601919,中远海控,6.192479,1.014466,15.21,191811226796.56165,G55水上运输业,0.2966938,0.28990483867834255,20.0,0.9771179535209112,7.12,0.0,0.09362261669953978,22.0,97.0,6.0,5.0,581.0,125.0
