code,codeName,peTTM,pbMRQ,close,totalValue,industry,roe_mean,roe_std,roe_count,roe_volatility,amount,stockDividend,dividend_yield,pe_rank,pb_rank,dividend_rank,roe_mean_rank,roe_volatility_rank,total_rank
sh.600015,华夏银行,4.004087,0.352268,6.83,105089764481.68007,J66货币金融服务,0.0476551,0.023923574521467535,20.0,0.5020149894023418,1.6099999999999999,0.0,0.04714494875549048,1.0,3.0,31.0,492.0,200.0,35.0
sh.600016,民生银行,5.596856,0.302312,3.88,137595866927.74078,J66货币金融服务,0.04394305,0.015354267627138376,20.0,0.3494128793321897,0.9710000000000001,0.0,0.05005154639175259,12.0,1.0,27.0,516.0,28.0,40.0
sh.601818,光大银行,5.160822,0.418164,3.52,163369183027.86844,J66货币金融服务,0.05598475000000001,0.02461525577419311,20.0,0.4396778725312359,0.858,0.0,0.04875,7.0,5.0,29.0,441.0,84.0,41.0
sh.601169,北京银行,4.500593,0.41922,5.51,116506227766.66039,J66货币金融服务,0.0554357,0.023887266456155427,20.0,0.4309004207785854,1.255,0.0,0.0455535390199637,3.0,6.0,33.0,444.0,72.0,42.0
sh.601668,中国建筑,4.78264,0.443025,5.17,213635999250.1368,E48土木工程建筑业,0.08803995,0.04136426816707106,20.0,0.4698352073924515,1.04565,0.0,0.040450676982591874,5.0,8.0,47.0,234.0,142.0,60.0
sh.601166,兴业银行,5.747888,0.570899,20.99,444149675987.842,J66货币金融服务,0.07247755,0.032333791960985896,20.0,0.44612148121709266,4.888,0.0,0.04657455931395903,14.0,20.0,32.0,319.0,94.0,66.0
sh.601229,上海银行,5.784541,0.579932,9.79,139124757230.55554,J66货币金融服务,0.0664656,0.02964719318817284,20.0,0.4460531942564701,2.06,0.0,0.04208375893769153,15.0,23.0,44.0,368.0,93.0,82.0
sh.601328,交通银行,6.891053,0.575826,7.4,192923184190.26047,J66货币金融服务,0.05569505,0.026045789694053093,20.0,0.4676499921277221,1.6383,0.0,0.04427837837837838,27.0,22.0,34.0,443.0,132.0,83.0
sh.601998,中信银行,5.86273,0.572434,7.39,301331020408.16327,J66货币金融服务,0.06039989999999999,0.02579985657222475,20.0,0.4271506504518178,1.4998,0.0,0.04058998646820027,18.0,21.0,46.0,407.0,66.0,85.0
sz.000001,平安银行,5.184753,0.499035,11.52,223525685394.66806,J66货币金融服务,0.06567005000000001,0.027156251753751987,20.0,0.4135256750033232,2.076,0.0,0.03604166666666667,8.0,14.0,63.0,375.0,55.0,85.0
sh.601186,中国铁建,4.952854,0.387209,7.78,89511708067.94055,E48土木工程建筑业,0.0523656,0.027203106967287474,20.0,0.5194842982279869,1.176,0.0,0.030231362467866323,6.0,4.0,86.0,460.0,227.0,96.0
sh.601390,中国中铁,5.433389,0.427084,5.46,111777324502.61781,E48土木工程建筑业,0.0599647,0.030831595161798758,20.0,0.5141624182527179,0.866,0.0,0.03172161172161172,10.0,7.0,80.0,412.0,221.0,97.0
sh.601916,浙商银行,6.005243,0.472162,3.05,65714527521.17013,J66货币金融服务,0.0581758,0.022194810959700516,20.0,0.38151277609763024,0.53,0.0,0.034754098360655745,20.0,11.0,69.0,429.0,36.0,100.0
sh.601077,渝农商行,6.070618,0.548989,6.36,56208253369.978874,J66货币金融服务,0.06720935,0.02466259106692179,20.0,0.3669517867219634,1.117,0.0,0.03512578616352201,21.0,17.0,67.0,359.0,33.0,105.0
sh.601658,邮储银行,7.476424,0.643324,5.43,364414528602.0151,J66货币金融服务,0.06619145,0.028720419921565432,20.0,0.43389924108877254,1.1509,0.0,0.042390423572744015,34.0,30.0,41.0,370.0,73.0,105.0
sh.601825,沪农商行,7.110338,0.698493,9.12,85492016617.21066,J66货币金融服务,0.07366625,0.030982747616723393,20.0,0.42058266325112775,1.954,0.0,0.04285087719298246,30.0,37.0,39.0,314.0,62.0,106.0
sh.601009,南京银行,6.469355,0.76456,11.26,139207256048.66742,J66货币金融服务,0.0836689,0.036012034209194715,20.0,0.430411230567089,2.38399,0.0,0.042344404973357015,24.0,52.0,42.0,256.0,71.0,118.0
sh.600919,江苏银行,5.587355,0.748848,10.41,191039421592.2594,J66货币金融服务,0.07869804999999999,0.03290854570900359,20.0,0.4181621489859481,1.8813,0.0,0.03614409221902017,11.0,47.0,62.0,292.0,59.0,120.0
sh.601838,成都银行,5.262735,0.826063,16.53,69937808203.71936,J66货币金融服务,0.09986355,0.04851780624675202,20.0,0.4858409925017889,3.18573,0.0,0.03854482758620689,9.0,60.0,53.0,166.0,164.0,122.0
sh.601939,建设银行,7.130444,0.70021,9.19,88163949910.29346,J66货币金融服务,0.07163515000000001,0.033073792232831814,20.0,0.4616978150088582,1.7418,0.0,0.03790642002176279,31.0,38.0,56.0,325.0,118.0,125.0
sh.601919,中远海控,6.245406,1.023137,15.34,193438665588.23526,G55水上运输业,0.2966938,0.28990483867834255,20.0,0.9771179535209112,7.12,0.0,0.09282920469361147,22.0,101.0,6.0,5.0,575.0,129.0
sh.601988,中国银行,7.620587,0.683292,5.67,1195132662455.6963,J66货币金融服务,0.059177400000000005,0.02784588699365057,20.0,0.47054934812361754,1.0412,0.0,0.036726631393298056,38.0,33.0,59.0,417.0,144.0,130.0
sh.600820,隧道股份,7.987256,0.654614,6.48,20373034447.37835,E48土木工程建筑业,0.04739295,0.03463268078210613,20.0,0.7307559622708889,1.23,0.0,0.03796296296296296,43.0,32.0,55.0,495.0,475.0,130.0
sh.601800,中国交建,6.492036,0.458943,8.28,97524994547.87233,E48土木工程建筑业,0.04595945,0.021221358809798457,20.0,0.4617409218299709,1.0150000000000001,0.0,0.024516908212560393,25.0,9.0,114.0,507.0,119.0,148.0
sh.600153,建发股份,13.271629,0.485211,9.32,27024527749.22919,L72商务服务业,0.06310535,0.06183407581012355,20.0,0.9798547319700079,2.8,0.0,0.06008583690987124,123.0,13.0,18.0,390.0,576.0,154.0
sh.601398,工商银行,7.667556,0.735412,7.89,2127260425298.8694,J66货币金融服务,0.0636297,0.031301013065999875,20.0,0.4919245739961036,1.3526,0.0,0.03428643852978454,39.0,43.0,75.0,387.0,176.0,157.0
sh.600926,杭州银行,5.857191,0.836816,15.35,111277882306.27023,J66货币金融服务,0.08467745,0.03354225505471067,20.0,0.39611791633676574,2.3,0.0,0.029967426710097715,17.0,61.0,88.0,253.0,40.0,166.0
sh.600483,福能股份,9.10094,1.043479,9.85,27383981555.944054,D44电力、热力生产和供应业,0.0687902,0.03348718599640607,20.0,0.48680169553811553,1.303,0.3,0.08645685279187817,55.0,105.0,8.0,345.0,166.0,168.0
sh.600000,浦发银行,7.935643,0.553034,11.64,387797470734.3125,J66货币金融服务,0.0477408,0.02050465388406406,20.0,0.4294995870212493,1.4609999999999999,0.0,0.02510309278350515,42.0,18.0,109.0,490.0,70.0,169.0
